headline,detection,transformed_text
latina business owner faces death threats for appearing onstage at donald trump rally,not sarcastic,
"hasan minhaj inks netflix deal, is first indian-american to front weekly comedy show",not sarcastic,
comedian releases song to find her own rachel maddow,not sarcastic,
hollywood quietly shuts down after realizing that entertainment a delicate matter of subjective opinion,sarcastic,quietly delicate down afterwards that entertainment a close topic of immanent opinion
"while democrats held their convention, here's where the money was",not sarcastic,
matt smith speaks out about 'the crown' pay gap,not sarcastic,
super tuesday: live results,not sarcastic,
islamic state fighter from u.s. reportedly in custody in iraq,not sarcastic,
mike pence got through vp debate without having to explain anti-lgbt record,not sarcastic,
weinstein scandal inspires models to share stories of abuse in their industry,not sarcastic,
prima donna surgeon storms out of half-full operating theater,sarcastic,leading donna surgeon out storms of half-full dramatics
"'whitey bulger ordered the murder of 19 people,' reports anonymous rat bastard",sarcastic,'whitey bulger consecrate the anon 19'reports of. bastard blabber
why happy hours may soon replace early bird specials,not sarcastic,
new gop health care bill is even worse than the first,not sarcastic,
"lena dunham has a theory on why men, apparently, don't like serena williams and ronda rousey",not sarcastic,
scientists politely remind world that clean energy technology ready to go whenever,sarcastic,scientists world remind courteously that energy science to go whenever
trump administration seems to be winging it on food stamp replacement boxes,not sarcastic,
"egg lobbyists targeted bloggers, media to fight vegan startup",not sarcastic,
aquaman is a big fan of trump pulling out of the paris agreement,not sarcastic,
foul play suspected in destruction of world's second-largest ball of twine,sarcastic,foul play suspected atomic number of of 's Lucille Ball destruction twine
here's what clinton and trump were really thinking about during the debate,not sarcastic,
how to save money fast: 10 habits that can fund your dreams,not sarcastic,
non-denominational terrorist organization welcomes extremists of all faiths,sarcastic,non-denominational terrorist organization welcomes extremist completely of faiths
donald glover needed 'white translator' to convince fx to allow 'n-word' in 'atlanta',not sarcastic,
'13 reasons why': stop telling young women true love will save them,not sarcastic,
a simple solution to america's woes: huge raises,not sarcastic,
trumpcare scored so badly it could actually help the senate,not sarcastic,
new york's attorney general wants to keep birth control free,not sarcastic,
"boys in chairs: my first time, 11 years later",not sarcastic,
huffpost rise: what you need to know on february 8,not sarcastic,
how to get researchers to notice an ultra-rare disease,not sarcastic,
"house democrats demanded action on guns, but americans kept killing each other",not sarcastic,
being obese is strongly linked to a greater risk for these 11 cancers,not sarcastic,
why did corporate reformers overlook newark's children and families?,not sarcastic,
area man not about to tie his shoe when he's 4 blocks away from sitting down,sarcastic,
matt damon now knows you are sexually attracted to his ponytail,not sarcastic,
do you suffer from obsessive trump disorder?,not sarcastic,
fbi might withhold secret method of unlocking iphone from apple,not sarcastic,
miley cyrus and liam hemsworth had a very instagrammed christmas,not sarcastic,
guess which reality star went all out at comic-con,not sarcastic,
'snl' takes on sexist super bowl stereotypes in the best way,not sarcastic,
study proves exactly how gross bathroom hand dryers really are,not sarcastic,
sponsor drops broncos' brandon marshall after national anthem protest,not sarcastic,
microsoft and amazon have a plan for driverless cars,not sarcastic,
union plows ahead after major scotus setback,not sarcastic,
all quiet except cruz. and did you read about al gore?,not sarcastic,
police chief busted for parking on sidewalk does the honorable thing,not sarcastic,
"going against the flow: diana paredes, ceo of suade",not sarcastic,
emboldened republicans in kentucky push 20-week abortion ban,not sarcastic,
the perfect to keep a sexy bod and still enjoy your vacation,not sarcastic,
"trump campaign manager faces new allegations of pushing, sexually suggestive comments",not sarcastic,
scientists discover mollusks are next evolutionary stage for humans,sarcastic,
kelly rowland's favorite tips for expecting moms,not sarcastic,
"dr. king died fighting for economic justice. nearly half a century later, we continue his fight.",not sarcastic,
watch: $24 million yacht goes up in flames,not sarcastic,
"despite the ugliness, i am staying hopeful in trump's america",not sarcastic,
she dreamed of africa -- and then she was sent there,not sarcastic,
mcdonald's prints calorie count right onto meat,sarcastic,mcdonald 's prints calorie right meat onto
"seeing the humanity of ""the other""",not sarcastic,
from hunter to hunted: 5 attraction marketing strategies to pull in more prospects,not sarcastic,
"who wrote the beatles hit ""twist and shout""? the amazing story of bert berns",not sarcastic,
the key to chip and joanna gaines' marriage isn't really a secret,not sarcastic,
nation to wait for more facts on texas shooting before doing absolutely nothing about it,sarcastic,nation wait for Thomas More on it shooting before serve nothing about texas
how tax cuts led to west virginia's massive teacher strike,not sarcastic,
a guide to sex at 50 and beyond,not sarcastic,
prime rib primer: the roast with the most,not sarcastic,
these simple facebook shortcuts will save you time,not sarcastic,
mourners gather to remember the life of keith lamont scott,not sarcastic,
huffpost rise: what you need to know on february 15,not sarcastic,
don't press the button: the problem with email and what to do about it,not sarcastic,
clay aiken gained 30 pounds eating bojangles chicken during his campaign,not sarcastic,
report: 89% of suzy qs never make it out of gas station parking lots,sarcastic,report : 89 % of suzy Q never make out station gas of parking tidy sum
preparing for retirement after a divorce,not sarcastic,
backpage ceo likely to walk from pimping charges as judge cites shield law,not sarcastic,
the beverly hills hotel and the dangers of keyboard activism,not sarcastic,
elder abuse growing into a national crisis,not sarcastic,
are you the artist...or the masterpiece?,not sarcastic,
autism at 16: cookie monster and the coliseum,not sarcastic,
7 things to make you feel better about a trump presidency,not sarcastic,
russian medallist at winter olympics suspected of doping violation: report,not sarcastic,
elizabeth warren grills trump's labor nominee over workplace safety,not sarcastic,
a plea to free archbishop mar gregorios yohanna ibrahim and archbishop boulos yazigi who were kidnapped one year ago today,not sarcastic,
prison inmates name feared guard known as 'captain america',not sarcastic,
why more older folks are turning to pot to fix what ails them,not sarcastic,
kenya should not sign china and south africa coal deal,not sarcastic,
west virginia teachers plan statewide strike,not sarcastic,
a woman announced her pregnancy with a unicorn frappuccino,not sarcastic,
sunday night's supermoon was incredible — but deadly for these animals,not sarcastic,
psst! disability competitiveness: pass it on!,not sarcastic,
islamic fundamentalists condemn casual day,sarcastic,fundamentalists islamic decry casual day
islamophobia and charlie hebdo,not sarcastic,
carmelo anthony randomly ran a mini-marathon mid-game,not sarcastic,
and the top markets for renting to millennials are...,not sarcastic,
"khloe kardashian thanks fans for their 'patience,' resumes website and app content",not sarcastic,
freyda miller: words and deeds,not sarcastic,
joan rivers perfectly shut down the single woman stereotype in 1967,not sarcastic,
is it ok to be rich?,not sarcastic,
man paid more than enough to put up with this shit,sarcastic,
"a tale of kindergarten hardship, in one little boy's before-and-after photos",not sarcastic,
what's half of $33.35?,not sarcastic,
progressive groups want doug jones to throw caution to the wind,not sarcastic,
daily meditation: by the riverside,not sarcastic,
"monday's morning email: what's next for trump after his ""worst week""",not sarcastic,
'suicide squad' kills box office competition with massive $135.1 million debut,not sarcastic,
'dotard' vs. 'rocketman': the nuclear standoff that rattled 2017,not sarcastic,
scotland and wales will now allow northern irish women to access free abortions,not sarcastic,
don't passively online shame hurricane irma residents,not sarcastic,
new york attorney general examining eric trump charity payments to trump properties,not sarcastic,
un confirms aid convoy bombed in syria near aleppo,not sarcastic,
pope francis warns of 'dangerous' alliance between u.s. and russia,not sarcastic,
two non-binary college activists on creating space for themselves on campus,not sarcastic,
"senate gop, democrats reach deal imposing new sanctions on russia",not sarcastic,
demolishing the 7 myths propping up fossil fuels,not sarcastic,
you may not have noticed but there were almost no latino films in 2015,not sarcastic,
pope criticizes conservatives at key church gathering,not sarcastic,
"wealthy, famous individual described as 'totally down-to-earth' by thousands of acquaintances, all of whom are lying",sarcastic,
ryan lochte now changing account of events going back years before robbery,sarcastic,ryan lochte now changing of events going before year back robbery
rick santorum relieved no one has asked him about interracial marriage yet,sarcastic,rick santorum take over no marriage hold asked about interracial one yet
new okcupid feature alerts users when it's time to come crawling back,sarcastic,
3 tips for coping with grief during the holidays,not sarcastic,
what makes bill gates feel 'stupid',not sarcastic,
jay-z's '4:44' makes room for black men to be vulnerable,not sarcastic,
twitter applauds trump's demands for 'law and order',not sarcastic,
watch heroic drivers rescue 2 scared dogs dashing down freeway,not sarcastic,
obama's new cuba policy corrects a five-decade failure,not sarcastic,
freemasons return to jupiter,sarcastic,jupiter riposte to freemasons
"skip the haunted houses, take a digital tour of abandoned buildings instead",not sarcastic,
why the eu plan to stop mediterranean migration is a human rights concern,not sarcastic,
our new mother within,not sarcastic,
kim kardashian wears sheer top in festive christmas eve photo,not sarcastic,
rumsfeld sick of jokes about his fat girlfriend,sarcastic,rumsfeld of jokes his about productive girlfriend
twitterverse trolls iphone x's new security feature with arya stark jokes,not sarcastic,
for-profit college hastily designs diploma for student on verge of actually graduating,sarcastic,for-profit college in designs haste diploma for student along verge of actually graduating
reddit bans page hosting celebrity nudes,not sarcastic,
kendall and kylie jenner get revenge on cheating guy in snapchat soap opera,not sarcastic,
trump spokesman jason miller says he won't take top white house job,not sarcastic,
the dubai film festival diaries: a classy end to a life-changing event,not sarcastic,
adam schiff says there's 'more than circumstantial evidence' of trump ties to russia,not sarcastic,
alton sterling protesters remind you what america keeps forgetting,not sarcastic,
"jimmy kimmel can't soften daca opponents, even with a cute baby",not sarcastic,
new envelope pushes envelope envelope,sarcastic,pushes envelope envelope
president barack obama backs expanding social security,not sarcastic,
independence day,not sarcastic,
congresswoman fights for gun control because she almost lost her life to gun violence,not sarcastic,
tsa agents to now simply stand at checkpoints and remind passengers that we all die someday,sarcastic,checkpoints broker to now plainly stand at TSA and remind passenger that we all someday
vacation-bound rush limbaugh to do nothing but golf and respect minorities for 2 weeks,sarcastic,
yet another donald trump pick has a habit of spreading dangerous conspiracy theories,not sarcastic,
friday's morning email: inside trump's presser for the ages,not sarcastic,
"plus-size holiday fashion: tutus, sequins, and standing out",not sarcastic,
the royal family is ready for your awkward office holiday party,not sarcastic,
nine rules for effective online content,not sarcastic,
7 common misconceptions about the hebrew bible,not sarcastic,
these are the only 5 shoes you need in your closet this fall,not sarcastic,
7 steps to stay financially fit in 2015 and beyond,not sarcastic,
the number of puerto ricans without water grew to more than half: dod,not sarcastic,
friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,sarcastic,into who hear to podcast on Watergate bursts friend conversation with guns fucking
"the 'rain room' is coming to los angeles, not to be confused with actual rain",not sarcastic,
i am not a prostitute. i'm a female solo traveler!,not sarcastic,
the politics of shame and pride,not sarcastic,
hooded members of congress drown another love child in potomac to prevent affair from getting out,sarcastic,hooded fellow member of drown another love in kid potomac to prevent affair from getting extinct
incredible waterspout spotted over iowa lake,not sarcastic,
nearly 1 in 10 children not enrolled in school: un,not sarcastic,
live election coverage: watch as midterm results pour in,not sarcastic,
report: revolving door gave goldman access to fed secrets,not sarcastic,
this is probably the first mammal extinct because of man-made climate change,not sarcastic,
rod stewart thought it was a good idea to stage a mock beheading in abu dhabi desert,not sarcastic,
tiny changes {today's buddha doodle},not sarcastic,
remembering james horner,not sarcastic,
what's your story?,not sarcastic,
not one woman less: protesting femicide in buenos aires,not sarcastic,
winston churchill's grandson introduces a new nickname for donald trump,not sarcastic,
"japan's economy emerges from recession, growth weaker than forecast",not sarcastic,
solar jobs report shows huge growth,not sarcastic,
conceiving our chosen family,not sarcastic,
older brother to attempt unmanned bike mission into ravine,sarcastic,sure-enough chum to mission unmanned bike attempt into ravine
just some guys in england driving a tank to the gas station,not sarcastic,
this republican once said helping refugees made us a 'better nation.' but now he's done.,not sarcastic,
christina aguilera is barely recognizable on paper magazine cover,not sarcastic,
trump administration may use executive authority to tweak obamacare's rules,not sarcastic,
dove deodorant's #alternativefacts campaign trolls the trump administration,not sarcastic,
a new joint message from the kremlin and the trump administration,not sarcastic,
julia stiles marries preston j. cook in intimate seattle beach wedding,not sarcastic,
va loan program may be letting veterans down,not sarcastic,
can blind auditions change the ratio of women in tech journalism?,not sarcastic,
accused 'kayak killer' pushed paddle away from drowning fiance: prosecutor,not sarcastic,
5 must-try international takes on macaroni & cheese,not sarcastic,
jason priestley praises shannen doherty's bravery amid cancer battle,not sarcastic,
how to get a bikini body without buying a bikini body plan,not sarcastic,
"prog noir and beyond: conversations with tony levin, cactus' carmine appice, jim mccarty, and jake shimabukuro",not sarcastic,
capital in 21st century,not sarcastic,
vulnerable republicans just showed why fighting for trans rights is a political winner,not sarcastic,
arby's ceo arrested with trunk full of stolen horsey sauce,sarcastic,'s ceo arrested horsey trunk full of steal with sauce
the best maternity style moments at the grammys,not sarcastic,
5 better questions to ask allergy families,not sarcastic,
an eerie series that examines whether we ever truly die on the internet,not sarcastic,
urine-proof paint returns fire on peeing perps,not sarcastic,
top democrat pushes back on expanding obama's trade powers,not sarcastic,
teen crafting marketable persona in garage hoping to one day win grammy,sarcastic,teen to marketable persona indium garage hoping crafting nonpareil day make grammy
darren wilson ain't no ham sandwich: prosecutorial manipulation of a flawed grand jury system,not sarcastic,
eli broad: it's 'news to me' i'm buying the la times,not sarcastic,
twitter took a much-needed break from the world to #addcandytoamovie,not sarcastic,
5-year-old boy faces a tough decision about his girlfriends,not sarcastic,
560-pound man says he's riding across country to save his life -- but is he scamming america?,not sarcastic,
"rubio lays out new, hardline position on immigration",not sarcastic,
"in 'margaritaville,' broadway's lisa howard finds strength and self-worth",not sarcastic,
thursday's morning email: the obamacare repeal comes down to these three senators,not sarcastic,
17 mother's day gifts and cards for all the geeky moms out there,not sarcastic,
acclaimed mexican journalist: the drug war is 'completely false',not sarcastic,
when sugar was the answer,not sarcastic,
this will make you never want to check a bag again,not sarcastic,
north carolina tops gonzaga to win sixth ncaa title,not sarcastic,
"adele opens up about her private life, squad goals and new album",not sarcastic,
huffpost rise: what you need to know on december 23,not sarcastic,
here's what you need to know about obamacare enrollment this year,not sarcastic,
"backing devos repeal of obama rules, for-profit colleges vilify students",not sarcastic,
taylor swift used a 'gremlin voice' while writing '1989',not sarcastic,
fox news meteorologist slams woman who said her legs are 'too fat',not sarcastic,
son's friend the kind who always gets nosebleeds,sarcastic,boy 's friend gets kind who the nosebleeds
adorable panda cub bei bei makes a very sleepy public debut,not sarcastic,
frustrated employee no longer even trying to hide gre study books,sarcastic,frustrated employee gre longer yet test to hide no study books
unpopular opinion: why i think the sat is a good thing,not sarcastic,
"donald trump heading for a series of wins in the northeast, polls say",not sarcastic,
cops accused of racism after detaining black man over 'vegetation',not sarcastic,
idea to see mario van peebles movie occurs to no one,sarcastic,to take care wave new mario movie occurs to no one
rep. trey gowdy endorses marco rubio for president,not sarcastic,
daily meditation: joyful,not sarcastic,
you are enough,not sarcastic,
5 lessons from a twenty-something divorcée,not sarcastic,
dave ramsey's daughter reveals the biggest money lesson she learned from dad,not sarcastic,
one man's quest to document the highways that tore his city apart,not sarcastic,
who declares sierra leone free of ebola,not sarcastic,
poor people's campaign is the angry response to inequality america needs,not sarcastic,
study finds flushing toilets wastes billions of gallons of piss and shit annually,sarcastic,study finds flushing toilets wastes billions of and of piss gallons cocksucker.
things my dad never did,not sarcastic,
yo soy blanco,not sarcastic,
ben carson has a weirdly specific vision of how 'the purge' could turn real,not sarcastic,
"trump expels 60 russians, closes russian consulate in seattle after uk chemical attack",not sarcastic,
chris stapleton had no idea who adele was when she covered his song,not sarcastic,
tsarnaev death penalty a warning to any other religious fanatics hoping to be martyred,sarcastic,be death penalty a warning to whatever other religious fanatics hoping to tsarnaev martyred
beyoncé channeled 5 of lil' kim's iconic outfits and lil' kim couldn't cope,not sarcastic,
state department's anti-semitism office will soon have no staff,not sarcastic,
"thank you, america",not sarcastic,
town nervously welcomes veteran back home,sarcastic,nervously veteran welcomes endorse home
"once the capital of nostalgia, istanbul is now the capital of anxiety and neurosis",not sarcastic,
why i'm choosing to move to nyc,not sarcastic,
wells fargo faces proposed class action lawsuit over bogus account scandal,not sarcastic,
martin o'malley aims to set the bar on criminal justice with comprehensive reform plan,not sarcastic,
donald trump's lawyer claims president was never told about son's russia meeting,not sarcastic,
beyoncé's 2015 global citizen fest setlist was pretty flawless,not sarcastic,
friend from college wasted no time becoming white-collar professional,sarcastic,supporter becoming college wasted no time from white-collar professional
stressed out at work? how to cope -- without turning to food or booze,not sarcastic,
scotland more relaxed when sean connery is away,sarcastic,Scotland more relaxed represent connery when
"so long, thimble: hasbro axes classic monopoly token",not sarcastic,
#trumpacandy took over twitter and it was gloriously sweet,not sarcastic,
colbert is stunned speechless by trump's terrible 'birthday present' for melania,not sarcastic,
"someone stole a ton of very, very valuable bull semen",not sarcastic,
authors are rallying to preserve langston hughes' harlem home,not sarcastic,
ted cruz favorability with republicans drops after convention speech,not sarcastic,
what your movements may reveal about how you'll get along with another person,not sarcastic,
my birthday is a day of infamy,not sarcastic,
the aftermath of an alleged chemical weapon attack in idlib,not sarcastic,
the fight to overturn citizens united: what happens now?,not sarcastic,
it's 2016. do you know where your bombs are falling?,not sarcastic,
chinese human rights activist wu gan sentenced to 8 years in prison,not sarcastic,
"putin, erdogan and orban: band of brothers?",not sarcastic,
new national park caters to business travelers,sarcastic,park caters to travelers business
the importance of increasing efficiency in new york city government,not sarcastic,
private vehicles beat ambulances in saving gunshot and stabbing victims,not sarcastic,
passengers freed from hijacked plane that landed in malta,not sarcastic,
meeting jon snow irl is apparently like seeing the 'mona lisa' for the first time,not sarcastic,
invest in human capital,not sarcastic,
"under trump, union election rules could be tilted in employers' favor",not sarcastic,
life between curfews and kids,not sarcastic,
'whoisdsharp' injects some viral vine violin into huffpost 6x60,not sarcastic,
mars maven begins mission to take thousands of high-resolution desktop backgrounds,sarcastic,mars to begins mission maven get hold of thousand of high-resolution screen background
the fantastic faroe islands,not sarcastic,
frugal couple saves money by making own porn,sarcastic,frugal money saves duo making pornography
police in cleveland are handling the rnc protests well. the bikes really help.,not sarcastic,
car salesman three desks over going on and on about chick he banged last night,sarcastic,auto salesman three desk over live banged and on about chick he on go night
"study: zero people have led satisfying lives after altering original career plans, aspirations",sarcastic,study zero people have result satisfying lives aspirations master career plans altering
do you use someone else's netflix password? you're not alone,not sarcastic,
obama administration takes deportation relief for millions to supreme court,not sarcastic,
makeup do's and i prefer you don'ts,not sarcastic,
man trying to get out of executioner duty,sarcastic,stunned trying to get man of executioner responsibility
study: not being an asshole boss may boost employee morale,sarcastic,discipline : not may an arse boss being supercharge employee morale
joan rivers defends israel with an analogy all her own,not sarcastic,
trump voters had a much better 2017 than clinton voters did,not sarcastic,
pulse nightclub shooter's father revealed as former fbi informant,not sarcastic,
to vaccinate or not to vaccinate: why is that even a question?,not sarcastic,
"sanders hits bill clinton on welfare reform, trade",not sarcastic,
trevor noah defends obama from conservative criticism on police brutality,not sarcastic,
the paradox of addiction,not sarcastic,
donald trump's sacking of james comey is a test for republicans,not sarcastic,
"song premiere: j.d. mcpherson, 'bossy'",not sarcastic,
watch nicki minaj's surprise performance with the weeknd on 'snl',not sarcastic,
the president of israel reaches out to palestinian arabs of israeli citizenship,not sarcastic,
"science, evolution and our intimate parts",not sarcastic,
birchbox founders reveal the best and worst business advice they've ever received,not sarcastic,
five reasons to love fashion designer bibhu mohapatra,not sarcastic,
pope tweets picture of self with god,sarcastic,
congress votes to intervene in local wedding,sarcastic,copulation In to votes local wedding
watch as stephen colbert hilariously tries to seize control of the dnc podium,not sarcastic,
2 koreas make history marching under unified flag in olympics opener,not sarcastic,
