speech,detection,transformed_speech
The above comments are spot on target .,no hate,
WPWW - eddie,no hate,
Lines ?,no hate,
Bobby van Jaarsveld - Kyk Waar Is Ons Nou [ Official Music Video ] - YouTube We can all have a dance and feel good for a while .,no hate,
The negro would n't have big buffed muscle body if it was n't for white man 's technology .,no hate,
It is for 6th through 8th Grade .,no hate,
Dear genius : Find a statistics text and look up `` normal distribution . '',no hate,
Good for the lions .,no hate,
White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,Hate,they josh postulate real interact with kneegrows and other non white kids or White 'll in the to follow the time they forget home...
Day Of Honour was good this year we come back next year greetz from Flanders ( belgium ) Heil Hongary Heil Flanders Heil Blood an honour world wide,no hate,
http://projects.latimes.com/homicide ... t/blog/page/1/,no hate,
Paul also has a daily radio program throughout the week on White Pride radio | The Voice of the White Resistance ! called ' The Fightin ' Side Of Me ' .,no hate,
"War of Art is sitting on my shelf , presently unread .",no hate,
"If you want to see what having a black , kenyan White-hating muslime in the Whitehouse has created , go look at Tarantino 's latest flick Django Unchained .",Hate,
The child s mother has been arrested [ no need to post that ugly face ! ] http://jacksonville.com/news/crime/2010-10-13/story/law-disorder-missing-toddler-found-gym-bag,no hate,
"Welcome, this is the greatest site to meet like minded white folks like yourself from all over the world .",no hate,
Buster,no hate,
You can send it to us at drmradio@ymail.com.,no hate,
"It is good that anti-White , is working its way out into the mainstream though .",no hate,
What a waste of time and money .,no hate,
"People have the same racial origin , regardless of religion",no hate,
YouTube - Good Night to Fed Ex,no hate,
Burlington Coat Factory Hiring For New Store in Conroe | Houston 's Hiring | a Chron.com blog lots more to check out .,no hate,
Would this have been the same scenario in Greece if Greece was bordering Russia ? .,no hate,
I became a revisionist after going to Auschwitz 1 and 2 .,no hate,
I go to school in southeastern ohio now .,no hate,
"Btw, if anyone wants to have their say against the multikulti zombies that read Six Degrees , here 's their forum : http://www.6d.fi/say _ your _ say/",no hate,
But I found my way ...,no hate,
"Being a smaller country , Ireland will quicker fill up with ethnic scum .",Hate,"exist A vitamin country, Ireland will quicker up with ethnic."
He is putting us into debt !,no hate,
That is the most ridiculous crap I have ever seen anyone type .,no hate,
I have to go now but I will post as soon as possible .,no hate,
Have the mods refused it ?,no hate,
- Pigs Resort To Cannibalism On Modise ? s Farm - News in pictures - Howzit MSN News,no hate,
Russians .,no hate,
http://www.1channel.ch/,no hate,
"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",no hate,
Dont know my heritage for ever .,no hate,
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,Hate,This completely is disgusting... How can we continue to domiciliate these who have over scorn for us and all and laws our customs duty
It just does n't hold my attention .,no hate,
Where in South Jesery are you ?,no hate,
"It 's easy , legal , and offers imediate gratification .",no hate,
"Wow, that 's a mouthful .",no hate,
sure I will take note but I will continue to point out how you refuse to disclose any info that may give away your position on topics relating to WN .,no hate,
This does n't make her not want to go outside and play .,no hate,
The Pastor is saying the truth !,no hate,
A man in charge of an organization that is so hated like the KKK should have been more careful .,no hate,
When i finish i plan on going to college not sure what career i want at the moment .,no hate,
"Sorry, but what they did was just sick and wrong .",no hate,
O sister if you want to talk to a brother I 'm here pm me if you want. dont give up sister you well find what your looking for 88 stand tall and be proud to be a ARYAN WOMAN and sister 88 Goldenboy GODS RACE and NATIONS,no hate,
You have to admit that they look like a scrawny desert chicken hence my use of that name over Roadrunner .,no hate,
Second to the last stat : virtually all gang rapes in Sweden are committed by non-whites .,no hate,
Face shaved and moustache trimmed ...,no hate,
It is as good as anywhere in the world ..,no hate,
How then do you explain that the first Rus rulers of Kiev and Novgorod had Scandinavian names ?,no hate,
I think you underestimate how many times I have actually taken different tests .,no hate,
Most of these videos belong on the Animal Planet tv channel .,Hate,nigh of these videos Planet the belong tv channel.
Best place for DNA test btw ? 23andme or ancestory ?,no hate,
He is regarded as one of the central figures of the neo-Nazi right rock scene .,no hate,
"I can honestly say that I have minority friends , and would n't hesitate to deal with the harsh reality that they must be deported .",Hate,"I tin frankly say that with have minority friends, and would n't reality to handle I the coarse hesitate that they must be deported."
It really pisses of the liberal leftist,Hate,It really pisses the of liberal left-winger
These ' people ' are just scum .,Hate,These'' just personify scum.
I dont believe i or anyone living today brought you here or wanted you here .,Hate,I i believe dont or anyone living today brought you here or wanted you Here.
That was over 30 years ago .,no hate,
Mixed martial arts is generally considered mixing Western and Asian arts together .,no hate,
"If you wanna go into specifics , one name is Anglo-Norman while the other is Anglo-Irish .",no hate,
Thus they have the title as the fattest people in the world .,no hate,
"Most likely Putin was not behind any of the killings , but certain criminal gangs from Caucasus or corrupt members in Russian military/security agencies .",no hate,
That is just disgusting and completely immoral .,no hate,
"agreed, there is no reason to make genocide of other races as long as they are in another country and have nothing to do with our affairs !",Hate,", there is No in to make racial extermination of other races have long as they ar reason country and as nix to do with!"
"So , a `` high and tight '' will suffice .",no hate,
sorry i forgot to put that im from western mass and my teacher is white but she is strongly against racism and thats why i say something in support of white racism,no hate,
Maybe if you opened your eyes you 'd see that I did .,no hate,
I 'll pm you a chapter from the Hitler Youth Handbook .,no hate,
Is there anything to do there for a day or two ?,no hate,
"Here 's a list of some of the other derivitives : Skr . धूम ( dhūma ) , Old Prussian dumis , Russ. дым ( dym ) , Lat. fūmus , Gm. toup/toben , Gk. θυμός ( thumos ) , Toch. twe/tweye , Lith. dūmai , Ltv. dūmi , Eng. dōmian/dusk , Goth. dauns , ON daunn , Ir. dé/deathach , Welsh dywy , Oscan Mefit , Polish dym , Pers. / dud , OCS дꙑмъ ( dymŭ )",no hate,
Looks like asians have more balls than us gutless white people .,no hate,
"i didnt try it yet but i guess i should check it out ; thankx i hope that link gave whoever needed it some info on whatever she ( i dont remember her name , sorry ) needed later",no hate,
You are white and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office .,Hate,You comprise white and you up better then them the next time they the you someone else form a group buddies and ar to hassle proncipal office.
Therefore they had to practice slavery before all other races .,Hate,to they had Therefore practice slavery before all slipstream.
"As of December 31st , 2013 at about 8 AM PST , the booklet had been downloaded 16,270 times and counting .",no hate,
immigrants are desperate to stay here. who can blame them ? our government treats them as lords and we as muck. welcome to SFI Pluirin !,Hate,immigrants here desperate to stay constitute. incrimination can who them? our government and treats them as Divine activity we as ooze. Pluirin SFI to!
Anyone know where i can buy one .. ? 88 Jab : soldierfn,no hate,
"Sean,welcome to our hate community r u from new york city ? if so i 'm sure u have some stories or racial issues .",no hate,
actually SXE kids are locked up more then drug users simply for acts of violence but maybe thats just here in utah,no hate,
I have always thought that the first order of business in a White Nationalist State Would be to teach our youth how to fight unarmed .,no hate,
Why do people still join Militias ?,no hate,
Holocaust Survivor Tells Her Story - YouTube It 's from this channel https : //www.youtube.com/channel/UCML ... wgbpH7gn _ vebtw,no hate,
"I guess we will never know until we try , we may surprise ourselfs !",no hate,
I notice it does n't say if the kids were jews or not .,no hate,
"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",no hate,
"It where loads of them when I was in Thailand , Thaiguys running up from the water screaming `` Tsunami tsunami !! '' and behind them is a one foot wave",no hate,
http://apod.nasa.gov/apod/astropix.html,no hate,
The person blood and honour interviewed claimed that their are no white power groups in ireland at the moment .,no hate,
Most comments are quite favorable to fiercely favorable .,no hate,
"If your kids is interested in anime , by all means BE CAREFUL at the video store .",no hate,
Again I would not pay to see this Drug addict perform no matter how could she was a singer .,no hate,
"White girls and no other , even asian guys are attracted to white girls all we can do is pray for these people !",no hate,
"The Aryan Body , Mind and Soul - Prodigies and Geniuses Dr. William Shockley ( February 13 , 1910 - August 12 , 1989 ) Dr. William Shockley was an American physicist and inventor .",no hate,
Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,no hate,
"Seriously Canada would have been better off if they left the pakis at home , im like you I do n't object to asians because they at least try to fit in .",Hate,
This is the one my neighbors have .,no hate,
I'll edit out a few of the most revealing images .,no hate,
"Yours , Rebel",no hate,
"Fight proud England , Fight",no hate,
"Although they do appear trashy and promote race mixing , the two head figures in the band are white , are married and do have a white child .",no hate,
"Careful man , People on SF do n't like Asians bashing .",no hate,
It 's massive .,no hate,
It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .,Hate,White 's and Indians dot and to Associate in Nursing plume that I deal with hate total darkness than they brawl It weird find blacks to be and slimy.
I refuse to believe it !,no hate,
YouTube - & #x202a ; Kolovrat Kosovski front & #x202c ; & lrm ;,no hate,
Kids can log-in with their parent ( s ) every day and follow online courses ...,no hate,
If it continues England will become a cesspool of sh * * pardon my English,Hate,If English England volition get a cesspool of sh * * pardon my it
"On Thursday , a Long Beach jury once again found that Jackson , now 52 , should be put to death .",no hate,
"Rhodine van der Walt was shot and killed in her home in Kempton Park on Saturday night , 1 Feb 2014 by blacks .",no hate,
"Live in peoria , az",no hate,
A few years back my son had a English teacher that was from south America that couldnt hardly speak english yet she was teaching it,no hate,
It is hate if we disagree with this ethnic scum and no hate crime if they attack us .,Hate,
I am so tired of it .,no hate,
This is from the back-file at Stormfront 's Advanced Scout forum which is solely devoted to promoting the Pioneer Litte Europe strategy .,no hate,
"This is a video with pictures of old postcards of Gliwice ( Gleiwitz ) Upper Silesia , at the beginning of the video , and present day pictures of Gliwice ( Gleiwitz ) at the end of the video .",no hate,
White doll black doll ....,no hate,
You should have just put the money on the counter and walked out with your drink .,no hate,
Wonderful people and great food !,no hate,
In South Africa crime is out of hand and the Whites are bearing the brunt .,no hate,
If they ever accept that there are mental differences between the races they will be putting the first shovelful of dirt into the grave of multi-culturism .,no hate,
"I find this particularly revolting ...... my late father owned a retail hardware store for awhile .... I was mixing paint at age six ..... and our town , clientele , etc. , was White ...",no hate,
"i have no problem eating foreign food , what i have a problem is is handing over my money to foreigners. there is no reason you should hate any foods just beacuse some other race found out a nice way to prepare it .",no hate,
"According to their facebook page they 're up and running again , not sure how given the loss of the admin block .",no hate,
we had somebody there to monitor this protest they had around 13 people there despite their claims that they usually have hundreds at their demos .,no hate,
How about we watch a short film about working together and chat some more later ?,no hate,
I have a few things to reply to .,no hate,
"If Bulgarians are n't slavic , then it 's perhaps time for the rest of them to seek a new name for themselves , cos it 's us that used that ethnonym first , dig ?",no hate,
Watch - http://www.youtube.com/watch ? v = PAvAV ... eature = related,no hate,
Learn how to swim !!! 2 .,no hate,
Since you are new let me direct you to a site that also has good info and puts out a paper called the Nationalist Times .,no hate,
"So I should probaly start working on the biscuits and gravy for breakfast when you come up then , huh ?",no hate,
"That sounds promising , and hopefully in time there will be a couple of more days added and the extra hour too .",no hate,
"Seriously , go somewhere else and have someone else throw a pity party for you .",no hate,
"And this is exactly why we have to fall back on common sense ... And common sense says nobody is hanging around below 40,000 feet to take a tan ...",no hate,
"Hello, Do you want to know how i think nationalism ?",no hate,
GLORY To our British Activist & Nationalist ! Good To to See the Poles Help Out !!,no hate,
"Hey, no matter what his faults may be , he 's presenting something to the mainstream american public that nobody else is presenting ...",no hate,
Okay.,no hate,
I hear that and I have heard of using Wasp spray .,no hate,
We shall see .,no hate,
If half White non negro and Jew are Pro White and do n't reproduce then they are ok .,Hate,If half they not negro and Jew exist professional White and do reproduce then White live ok.
Please feel free to pm me or email me anytime .,no hate,
pm me or email me at boycottkosher@aol.com once i get enough money together ill be getting a car and ill be able to get to milwaukee quite easily .,no hate,
Ok how about I post a cool song that will cool us off : YouTube - Darkthrone - Transilvanian Hunger - With Lyrics Now come on people lets make some progress .,no hate,
Because the bread starts off all pure and white but once toasted it is a dark brown shade and is dry and hard and doesnt taste like bread at all ?,no hate,
Zionists want to maintain the racial diversity in the West .,no hate,
When I was very young we read and looked at the same books as the adults .,no hate,
Most look the same or have the same features .,no hate,
"Thanks, but I 'll pass .",no hate,
I hope it goes well .,no hate,
What happens when Popeye 's runs out of chicken YouTube - Popeyes Freakout ( Ghetto Vers .,no hate,
Let's not get above ourselves lads .,no hate,
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,Hate,Sooner OR one the black ulterior leave say `` * * * * `` or `` madick ``.
I saw it on friday Thats just about the right impression ( i believe ) one should have about them .,no hate,
I hope there is room for one more as i am very excited about this .,no hate,
Short Barrel 45 feet : Taurus Judge With Winchester PDX1 Loads - YouTube Short Barrel 30 feet : Taurus Judge 000 buckshot/.45LC tests at a life size target .,no hate,
I 'm a proud white male new to these forums .,no hate,
My mother was a teacher and a fair while back thought colored folks were wonderful misunderstood creatures but after teaching a majority non white class for a couple of years she no longer thinks they are all that great,no hate,
"It's no coincidence that they all seem to have similar storylines going at the same time , they do it to reinforce the subliminal messages .",no hate,
He live on forums all day because he have no job .,no hate,
The majority of them are as stupid as real Negroes .,Hate,them absolute majority of The are as stupid as real Negroes.
"Lunch is 15 minutes and recess is 15 minutes , you ca n't talk during class and there is little time available after school .",no hate,
She looks arabic if anything .,no hate,
saysay.jpg say say with a candle 2.jpg This is my nearly 3 year old cat called Say-Say .,no hate,
"This was the first silent movie I saw , the first movie I saw starring Lillian Gish , who is now one of my favourite actresses .",no hate,
The worst thing about this is that every single one of our beautiful cities in ALL of our countries now look like this .,Hate,The worst thing now is that every single of our metropolis Indiana of our about look like this.
These negro sports are supported with White peoples money .,no hate,
"I had to show this , Macedonian handball fans in Zadar , Croatia .",no hate,
Mam and Dad 's side both Irish .,no hate,
"Hell , I 've been single for ....",no hate,
Just got back from my new job .,no hate,
There are a crap load of people from so cal and a whole bunch just went to a show last weekend .,no hate,
"Seriously Guys , It 's An Indian Symbol For Good Fortune - People Of Walmart : People Of Walmart",no hate,
I've gotten where I really do n't like pro sports of any type but the pomp and circumstance surrounding American football is just ridiculus .,no hate,
"The whites and the asians evoluated , and the blacks are still behind .",Hate,"The behind White and the asians evoluated, and the still Dickson."
Click on the audio player at the link below .,no hate,
Yeah I saw that one on TV about the jew rabbi that was trying to get some from the 14 year old girl .,no hate,
Baby steps .,no hate,
"Yes indeed it is , and yes he is a jew .",no hate,
I wonder what the shegroid that came running up did .,Hate,did wonder what the shegroid that execute up I.
"Save this website in your favorites , and spread it around .",no hate,
Forcing people to look at propaganda so they will have a knee-jerk reaction when they make an unconscious real world correlation to what they were forced to view ...,no hate,
I allways stare at them first with very serious eyes and from long distance .,no hate,
"I'd say yes , because when the whites took over again they killed all the yellows and their offspring and started off right again .",no hate,
If White celebrities had lots of children that 'd set the dangerous example that Whites should n't stop at 1 - 2 .,no hate,
And here 's what David Irving 's site offers on Hitler 's Table Talks .,Hate,here 's what David 's declare oneself Adolf along Hitler 's Table
Why would you want to see this pollution spread further into our gene pool ?,Hate,into you deprivation to see this pollution circularise far Why our gene pool?
Yep!,no hate,
"You 're worried about affirmative action and liberals , that 's your spot .",Hate,"worried 're You about affirmative action and, that your spot."
Some kid knocking on a blacks door and running away.Look donkeys fords chipie across the road the internet cafe run by black overeactcted.Attacked the Limerick kid all at least 20 of them.Kid arrived out later with his at least 30 friends.The owner of internet cafe says to the white youth i have white blood.One roars back the only thing white about you is your teeth .,no hate,
Black Student Protesters Beaten By White Students At South African University Rugby Match Okayafrica .,no hate,
"Yeah, when I was younger there were some old lady in my street and kids thought that she is Baba Roga , so one day I waited for her with some pipe , I almost boke her backs ...",no hate,
"------------------------------------------------------- Arnold Rüütel , president of Estonia , says his nation is grateful to Icelanders for having the courage of recognizing Estonia 's independance while other countries kept quiet .",no hate,
I 'll be at that show AND I 'm a brunette .,no hate,
So if a fellow white man rapes my daughter or kills my brother I should let it go because he is white ?,no hate,
"www.sjcsf.edu St. Mary 's College of Maryland , St. Mary 's , Md.",no hate,
Without us they would still be living in mud huts with sharpened sticks .,Hate,
It might hold together for a short time but eventually major problems will develop .,no hate,
Then they show some shame in their face and turn away their eyes and do not disturb me with their staring .,no hate,
That 's why we need to keep in touch and stay organized .,no hate,
The Juden never stop with the race mixing yet they do n't want it for themselves .......,Hate,The Juden ne'er stop with the race they yet shuffle doh it for themselves.......
Have a look on the internet and you can see for yourself .,no hate,
They are internationalist-Marxists .,no hate,
I shall live by these 10 rules for the rest of my life as if they where the word of god .,no hate,
"www.hillsdale.edu St. John 's College , Annapolis , Md.",no hate,
"There are people I know of that actually are like that , I 'm sorry to say .",no hate,
"Remember there will be a delay in your potst ' appearing , until you reach unmoderated status .",no hate,
"And I also hope that thing like that is not gonna happen with our brothers from Belarus and Ukraine , who are also working illegaly on construction jobs .",no hate,
Swim back to Liberia--with a jew under each arm !,Hate,Swim of to back Liberia -- with a jew each arm!
"""",no hate,
"Needs a new stock , ramrod and nipples .",no hate,
Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .,Hate,Call the seige and tell him about K of hundreds of strange nationals who own invaded our country and position jackass to our cities on May I.
"Hi, just joined the forums and looking forward to joining in the discussions with fellow white nationalists and having some interesting debates , good to be here amongst friends Thewhitewolf88",no hate,
"`` Those who ca n't do , teach '' - my dad .",no hate,
"I've seen it before , most are Poles from America from what I see .",no hate,
"YouTube - Chucky cheese Brawl/Fight Yeah , never taking my kids there ... if and when I have kids",no hate,
Anti-White C * * T.,no hate,
What kind of moron throws away school district money on fruit that 's out of season ?,no hate,
No doubt they 'll be coming up with chocolate-colored Leprechauns and a Chinese flavored Uncle Sam 's too .,Hate,nobelium doubt they 'll be coming up with chocolate-colored leprechaun type A Sam flavored Chinese 's.
The two teenagers are charged with assaulting Rose Powell last Wednesday and stealing her car .,no hate,
"Strong, firm parents who bring up their children with Values are a good breeding ground for future leaders .",no hate,
"I wish they 'd all bugger off back to the Sudan , Nigeria , Ethiopia or where ever the hell it is they 're from and never come back .",Hate,"one wish 'd the bugger forth to all come, Nigeria, or where e'er the the it is they 're from and never Soudan second."
"It 's good to see a fellow Arizonan who is racially aware , though .",no hate,
"Vail Pass and Eisenhower Tunnel - YouTube Vail Pass ( elapsed time video , with John Denver music ) GTA video gameplay , crimmigrant driver wields heavy haul truck through Los Angeles. gta san andreas - Mcdonalds truck - YouTube",no hate,
The female of this type is often extremely beautiful .,no hate,
"Yes, now if we could just get this whole time machine thing figured out , when we got back all we would see are smiling white faces .",no hate,
We have a good reason for it to but you people want to get in the way of it .,no hate,
open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >,Hate,undefended a new shop class somewhere get son more education in interested ( he detest school ) service mor ein my community up interests try white things of > >
"Bessie Mae Whyman The Orange County grand jury indicted Anthony Darnell Wade , 26 , of Los Angeles last year of several felony counts .",no hate,
Yes I lick my lips and they are in terrible shape .,no hate,
YouTube - Honesty - Trevor ( Made in Britain ) YouTube - THE DEAD NAZI MARCH YouTube - Ich hatt ' einen http://www.youtube.com/watch ? v = 8U9Sh91htIA Kameraden YouTube - Cross of iron movie intro,no hate,
"Besides Metallica 's new album , I have n't bought a mainstream album in like a year .",no hate,
"Oh dear , Full on white genocide right there .",no hate,
Please join the discussions first before posting your pictures .,no hate,
I think this member meant this for stress relief .,no hate,
My last post here if you do n't post in Macedonian thread .,no hate,
"Exactly, I stand alone here .",no hate,
"If it 's a true , SHTF , 72-hour BOB , you 're going to need a lot of stuff and $ 100 is n't going to cover it .",no hate,
"Einstein said nothing can go faster than the speed of light , then squares the speed of light in E = mc ^ 2 .",no hate,
I will soon post photos of my cats .... 6 of them .,no hate,
They all deserve an ass kicking .,Hate,
"Also , those stupid white women who watch Oprah and not realize the fact that Oprah is very racist .",no hate,
"Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines YouTube - Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines Listen/watch the full interview @ Deanna Spingola and Dr. Lorraine Day - Zionism , the Holocaust , Aids and Vaccines : Free Download & Streaming : Internet Archive www.DrDay.com www.GoodNewsAboutGod.com",Hate,"Deanna Spingola full Dr. Lorraine Day - Zionist movement, Holocaust, Aids and Vaccines Holocaust - internet Spingola and Lothringen Day - Zionism, Lorraine Holocaust, Aids and Vaccines Listen/watch the and question @ Deanna Spingola and the Clarence Shepard Day Jr. - movement, the YouTube, Aids Vaccines : spare download & Streaming : Deanna Archive www.DrDay.com www.GoodNewsAboutGod.com"
There is plenty of genetic diversity among white people .,no hate,
I've got the book sitting on my shelf - have n't read it it .,no hate,
"If YOU do not teach your child morals , who will , the jew on the TV ?",no hate,
My buddy 's boat is anchored beside it .,no hate,
I think having free healthcare and free education should be a given if you 're a citizen of the country you 're in and you 're not an undesirable .,no hate,
You will know it is a nightmare on day you wake up and you have a black muslim running your country .,Hate,You will have it away lam represent a day you arouse up and you have a black muslim it country your.
Oh and Pankration was a martial sport not a martial art,no hate,
"The regime wants Germans to hate themselves , too bad that they are not already brown Muslims !",Hate,"The regime to High German wants hate themselves, likewise high-risk that they are not already brown!"
Typical,no hate,
"I note one of your other posts was worried because of the delay in your posts showing up - don ; ' t worry about it , it 's just that we have to check your stuff while you are new",no hate,
You mean there 's two of us left in the world ?,no hate,
INTJ Introvert ( 78 % ) iNtuitive ( 38 % ) iNtuitive Thinking ( 100 % ) Judging ( 56 % ) I find the descriptions of they give to be fairly accurate regarding myself .,no hate,
PNR by collectivization of industry do you mean the folk who work in say a factory own it themselves or do you mean its owned by the state in the name of all the citizens .,no hate,
They are culturally raping european countries in every way .,Hate,are culturally knock every countries Hoosier State european way.
Looking to become more active and make more friends in the White nationalist community in southern California .,no hate,
Hi its great to hear from all of u .,no hate,
We attended a large Halloween party at a local church .,no hate,
Just watch them at North America and they like all black sport players and their `` slang '' .,Hate,Just watch them at North sport and alike all blackness America participant and their `` ``.
All in all I 'm White,no hate,
"Somebody please give this kid a quick lesson in history , geography & irony before I throw my iPad against the nearest wall",no hate,
Those nogs in France do n't belong there and then they show how unruly they can be .,Hate,
"Yeah, seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new `` we be eguptshuns an sheet '' every week or so .",Hate,", seem a embody too stupid or arrogant to use an existing thread soh we see Negroes new `` we cost eguptshuns AN sail `` every so week."
Which one are you ?,no hate,
I do n't see why the gardai do n't just grab them and deport them none of them are entitled to be here,Hate,I perform n't are why the gardai execute n't simply grab them deport them none of them see title to be
Islam is not compatible with our way of life in this green and pleasant isle.Irish people are white and Christian FFS !,Hate,Islam non compatible with people way of life in this leafy vegetable and pleasant isle.Irish our are E. B. FFS Christian White!
i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,Hate,was good down the road to you.welcome to the board.it my blacks every i go to Galway city and see the amount of heart there.the early week i in walking down snitch street there and 1 a moslem standing was the street merchandising imitate of the koran
It 's obvious the International Jew has big plans for Ukraine now .,no hate,
The rounds I used to use in my 5.56 would cut through trees a foot thick and quarter inch steel like a hot knife through butter .,no hate,
well since we have all of us from phoenix lets exchange numbers and meet up dont laugh at the email addy it was a joke hehe pure _ tattooed _ white _ trash@yahoo.com,no hate,
"Let black people to join the result of `` diversity '' , is a glass of milk , for example , put a drop of ink in , before you put sugar , spices , put ice in all can drink , milk was completely dark to put ink become useless junk .",Hate,"black mass to join to result of `` diversity ``, earlier a glass put milk, the example, put a drop of ink in, follow you of sugar, spices, deoxyephedrine inch altogether keister drink, milk was completely dark for put ink become useless junk."
No wonder this races achieve nothing .,Hate,this wonder nobelium races nothing.
"Thanks for the plug John , closest group of NA to Kansas City I know of are some of us in Omaha and the St Louis Unit .",no hate,
It's funny to see a guy make fun of us and call us dumb rednecks when he spells on a 5th grade level .,no hate,
"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",no hate,
I think he is wrong .,no hate,
I saw a white and a black couple the other day and nearly went ballistic and got enraged .,Hate,
hello all Is any one on here from Austin Texas or not far ?,no hate,
Hear hear !,no hate,
"I could give a course on gun safety so , that they do n't end up like that monkey that shot off his penis .",no hate,
Faggots are always pushing their homosexual agenda .,Hate,Faggots are pushing of order their business.
Like I said earlier the English have been subjected to a far worse campaign of indoctrination than the rest of us .,no hate,
"Christian Books and Things P.O. Box 111 Harrison , Ark. 72601",no hate,
"Hi, thought i 'd drop by and introduce myself , i just wish i 'd found this place earlier = / look forward to chatting to you all , niks .",no hate,
I have to help I WILL NOT see these animals go free !!,Hate,
And make her practice .,no hate,
I still have bottle cages on most of my bikes .,no hate,
"Im living in Burnaby , all i see is Chinamen everywhere ... what happened to the great colony built by the British Empire ?",Hate,"Im living in Burnaby, see i altogether embody by everywhere... happened to the nifty colony built Chinamen the British Empire?"
K,no hate,
"So , I do n't know what to say .",no hate,
I will pass out cheap sugar based candy .,no hate,
FlaNative62,no hate,
"Just in case anyone is interested , here 's the thread in the Health & Fitness section : `` Eating Fish Makes You Smarter '' along with another one in the Homemaking section : `` Fish Oils and Pregnancy and Infants = Health Smart Babies '' I think the scientific evidence for the benefits of fish is just overwhelming .",no hate,
"Ireland joins International Task Force on Holocaust Education , Remembrance and Research Ireland has been accepted as a member country of the International Task Force on Holocaust Education , Remembrance and Research ( ITF ) .",no hate,
In 1985 she was found with a machete in her head .,no hate,
Kanal 5 only shows American garbage shows and reality shows like `` Big Brother '' .,no hate,
Why is there an exclusively homosexual high school when you do n't even go to school for sex in the first place ?!,no hate,
"They were not as dark as , say , a modern Iraqi .",no hate,
"Hi Im tv free do n't have kids yet reading mending , sewing , menting board games radio study extra curricula actives Good on you for planning a FREE jewv existence",Hate,"Hi curricula tv gratuitous do n't have yet reading reparation sewing, menting board radio Im contemplate extra set active voice Good on for adenine jewv cosmos"
"After the party and kid 's games , there were two dozen little `` houses '' set up in the parking lot for trunk-or-treat candy for the kids .",no hate,
"I spend a huge amount of time playing with my daughter , reading to her , teaching her to read `` Hop on Pop '' among others , etc ..",no hate,
"Excuse me , but why do n't do it with Lord Of The Rings , or other masterpieces of the Supreme Tolkien , rather than with that rubbish ?",no hate,
can u guys check to make sure ur site work with Linux lots of Linux folks use Konqueror. just a thought,no hate,
"Hey, guys I 'm new to SF but I 've long had right wing views about immigration looking to join a white nationalist group I live in Huron county PM me if you have a group I could join or if you know of one in my area !",no hate,
"And when it comes to classical music , I like it powerful .",no hate,
Get one of these t-shirts for next time you see him : - Asatru Versand - Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shirt ) Kein Islam in Europa - Das Christentum ist schlimm genug ( T-Shir themd-kein-islam,Hate,one of these jersey next time you see him : - Asatru Versand - das Europa - Kein Christentum ist schlimm in ( ) Kein Islam genug Europa - Christentum ist schlimm genug ( T-Shir themd-kein-islam
"That literally hurt my brain and made me laugh while I was reading it , it 's so ridiculous that you really ca n't do anything else .",no hate,
I went back a cpl years ago and the black vermin were everywhere .,Hate,vermin went back cpl years ago and the inkiness I make up everyplace.
They do sell it and it may be needed one day .,no hate,
"that is the sadest news i have ever heard in my entire life , ireland not a white country. its like saying the world is ending",Hate,"that the deplorable news country have ever heard in my life, non a white i. ending like saying the world exist technology"
Judge by color or I am so not `` hip '' ?,no hate,
Quick!,no hate,
"I think you all got your way , and they closed down the German minority in Upper Silesia thread under Activism and Politics in Europe .",no hate,
"Same with wolves and dogs , wolves and coyotes .",no hate,
Does anyone want to meet somewhere within the next few weeks ?,no hate,
http://whale.to/c/jeff_gates1.html Here 's what I mean when currently WN have to operate under Moscow Rules .,no hate,
Andy Cameron - Ally 's Tartan Army ( TOTP ) 1978 - YouTube,no hate,
http://www.tau.ac.il/Anti-Semitism/a...-4/ireland.htm,no hate,
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/gxv2b33v37la6pz/Booklet % 20Description % 20Box % 20Info.txt,no hate,
Shows some interesting statistics about the jew rats ...,Hate,the or so interesting statistics or so Shows jew rats...
looking for proud white female in ohio for friends and maybe more .,no hate,
