article,truthfulness
 Jeb Bush Rally Becomes Counseling Session As Supporters Give Him Advice To Fix His Struggling Campaign,fake
GOTCHA! SEN CLAIRE MCCASKILL Lied When She Said She Hadn’t Met With Russians,fake
 Bizarre Late Night Statement Proves Deputy AG Is Just Another Water Carrier For Trump,fake
TOP DEMOCRAT ACTIVIST WHO LAUNCHED ONLINE CAMPAIGN TO THREATEN AND BULLY 12 YR OLD CONSERVATIVE Is Facing Charges [Video],fake
MUST WATCH COMEDY: ROOM FULL OF DEMS ARE ASKED TO NAME ONE OF HILLARY’S ACCOMPLISHMENTS AS SEC. OF STATE….,fake
Henningsen: Obama White House Colluded with Facebook to Fabricate ‘Russian Bot’ Conspiracy,fake
 The Obamas Gave A Heartbreaking Tribute To Muhammad Ali (VIDEO),fake
 US Marine Puts Sarah Palin In Her Place For Blaming PTSD To Excuse Son’s Violent Behavior,fake
ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],fake
WOW! UNHINGED CLOWN DEMOCRAT Goes Nuts On House Floor During Obamacare Debate [Video],fake
German official warns U.S. not to use sanctions for industrial policy,real
CNN REPORTER EMBARRASSES Himself With Idiotic Response After Former “Face The Nation” Host Praises Trump’s Saudi Arabia Speech [VIDEO],fake
"FAKE NEWS WEEK: Truth, War Propaganda, CIA and Media Manipulation",fake
Syria: US Peace Council Addresses United Nations in NYC,fake
 Trump HUMILIATED As WH Walks Back His Attack After Soldier’s Mom Confirms His Insensitive Phone Call,fake
DID HILLARY REALLY THINK She’d Get Away With Telling Big Fat Lie About Obama’s “Red Line” Comment?,fake
Henningsen: Obama White House Colluded with Facebook to Fabricate ‘Russian Bot’ Conspiracy,fake
 WATCH: New Music Video Calls On Supporters To Keep Rallying For Bernie Sanders,fake
" Marco Rubio Really Wants To Win Reelection, But Won’t Rule Out Puling A Sarah Palin (VIDEO)",fake
PRESIDENT Promotes Made in America: Omaha Steaks Owner “Wanted to Kiss Me” for Reopening Trade with China [Video],fake
Turkey seeks life sentences for 60 ex-military over 1997 'post-modern coup',real
WOW! NEWS ANCHOR Hammers Obama On His Pro-Muslim Speech At Radical Mosque [Video],fake
Clinton expands lead over Trump to 13 points: Reuters/Ipsos poll,real
 GOP Lawmaker: ‘A Lady Needs To Be Told When She’s Being Nasty’,fake
BREAKING VIDEO: CONGRESSIONAL BLACK CAUCUS MEMBERS Rehang “Cops as Pigs” Painting In Capitol Building…Shameful!,fake
 This Is What REAL Christians Do When Their Priest Preaches To Ban Abortion (VIDEO),fake
WOW! CHICAGO PROTESTER Caught On Camera Admits Violent Activity Was Pre-Planned: “It’s not gonna be peaceful”,fake
" Putin Claims To Have Transcript Of White House Meeting, Available Only At Trump’s Request",fake
Trump threat to run as independent counterproductive: party chief,real
WHY REUTERS IS SAYING With “reasonable confidence” A Republican Will Win The White House In 2016,fake
Co-leader of Germany's far-right AfD to quit in major blow,real
DON’T BELIEVE THE MEDIA! MASSIVE FL TRUMP RALLY…Fans Walk MILE To Get Into Rally [VIDEO]…While Hillary Handlers Have To Tell Her When To Smile,fake
 WATCH: Texas Judge Orders Newly Sworn-In Citizens To Accept Trump Or Leave The Country,fake
 Veterans SHRED Trump For Exploiting Navy SEAL’s Death While Press FAWNS All Over Him For It,fake
 Christian Evangelist Says Jewish Bernie Sanders Is The Next Hitler (VIDEO),fake
SOCIALIST Bernie Sanders Asks Trump’s Pick For Education Sec If She’ll Agree To FREE College…Gets Embarrassing Public SMACK DOWN [VIDEO],fake
MEDALS OF VALOR: President Trump Honored Agents and Officers Who Took Down Gunman at GOP Baseball Practice Shooting [Video],fake
Jared Kushner NEVER Registered To Vote As A “Female”…Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur,fake
THINK AMERICA CAN’T END UP LIKE GREECE? THINK AGAIN!,fake
 Dianne Feinstein: Trump Is ‘Splitting’ The United States Apart,fake
SAY WHAT? #BlackLivesMatter TEXTBOOKS TO BE USED AS PART OF COMMON CORE CURRICULUM IN GRADES 6-12 [Video],fake
Austria's Freedom Party criticizes ECJ ruling on migrant quotas,real
ALARMING: NSA Refuses to Release Clinton-Lynch Tarmac Transcript with Lame Excuse,fake
"Trump meets insurers, promises catastrophic year for Obamacare",real
ALL HELL IS ABOUT TO BREAK LOOSE Between European Vigilante Group “Soldiers Of Odin” And ISIS Inspired “Soldiers Of Allah”,fake
 White Supremacists Robocall For Trump Ahead Of Super Tuesday (AUDIO),fake
"BREAKING NEWS: Woman Who Narrated BRUTAL TORTURE, Scalping of Mentally Disabled Young Man On Live Facebook Video Gets DISTURBING Sentence",fake
CLINTON CAMPAIGN STAFFERS Prematurely Popped Open Champagne Early Tuesday…Here’s How They Got It So Wrong,fake
WOW! 1996 NYT’s Stunning Article SLAYS First Lady Hillary Clinton…Calls Her A “CONGENITAL LIAR”…”she is in the longtime habit of lying; and she has never been called to account for lying”,fake
ILLEGALS BEFORE AMERICAN CITIZENS: ACLU Sues 3 Missouri Colleges For Refusing Tuition Benefits To Illegal Aliens,fake
N KOREA JUST REVEALED Plans To Unleash An Unimaginable  Attack That Could Lead To Electronic Armageddon,fake
RECKLESS DEM MAYOR BLAMES AMTRAK ENGINEER FOR CRASH…UPDATE: New Evidence Shows Train May Have Been Hit By Projectile,fake
 Trump Suffers HUMILIATING Reality Check After Bragging About The Number Of Bills He Has Signed,fake
"PEGGY HUBBARD BLASTS Priorities Of Al Sharpton, Black Lives Matter: “For The First Time In My Life, I’m Ashamed To Be Black…We Wanna Holler ‘Police Brutality’…We Are The Brutal Race!” [VIDEO]",fake
WATCH FULL RESPONSE FROM TRUMP AFTER OBAMACARE VOTE: “Obamacare will explode…Pelosi and Schumer own it” [Video],fake
 Poll Shows Growing Number Of Republicans Don’t Think Trump Is The Best Option For The GOP,fake
Factbox: Why the Zika virus is causing alarm,real
WILL AND GRACE Writers Explain How Their HATE For PRESIDENT TRUMP Inspired Them To Bring Show Back After 11 Years [VIDEO],fake
POLL SHOWS WHICH Candidate Will Benefit Most From Rubio’s Exit,fake
MARK STEYN ON CNN EXTORTION: Wolf Blitzer Has Put A Horse’s Head In Some Guy’s Bed,fake
POWERFUL! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “Welcoming The People I Fled From” [VIDEO],fake
WIKILEAKS HITS BACK At Lying Political Hack James Clapper…Testimony On The Hill Highly Partisan! [Video],fake
Boiler Room EP #119 – Zombie Disneyland & The Decline of Western Society,fake
WHAT? DEMOCRAT CONGRESSWOMAN Calls Violent Riots At Berkeley A “Beautiful Thing” [Video],fake
 Vicente Fox Brilliantly Trolls Trump’s Disastrous Week; It’s Glorious,fake
Europe rights watchdog says Turkey's emergency laws go too far,real
Czech far-right party says will not support new government,real
"‘Vote All You Want, The Secret Government Won’t Change.’",fake
 Watch Heartbreaking Cries From An Abused Puppy As She Is Shown Love For The First Time (VIDEO),fake
 Trump Supporting KKK Leader Defends Trump And Alt-Right In Response To Hillary’s Brilliant Speech,fake
"HILLARY VOLUNTEER, Obama Supporter Mocks Ryan Owens’ Widow Carryn For “Standing there and clapping like an idiot”",fake
WIKILEAKS EMAIL SHOWS CLINTON FOUNDATION FUNDS Used For Lavish Wedding Of “Spoiled Brat” Chelsea Clinton,fake
 This Charity Decided To Use Trump’s Money To Fight Hate And Is Rubbing It In His Face,fake
PANERA BREAD CEO 2014: “Don’t Bring Your Guns Into Restaurants”…UPDATE: Two MD Sheriffs Shot And KILLED In Panera Bread Restaurant,fake
 Watch What Happens When a Muslim Woman Shows Up At A Donald Trump Rally (VIDEO),fake
HOLY BETRAYAL OF AMERICA’S NATIONAL SECURITY: New Evidence Shows Hillary Emailed “Most Secretive” Classified Material On Private Unsecured Server,fake
Highlights: The Trump presidency on March 20 at 9:20 P.M. EDT,real
 New Study PROVES It’s Republicans Who Are To Blame For Slow Economy,fake
GRIFTER HILLARY CLINTON WAS PAID For Speeches Given To Government Contractors…No Ethics!,fake
WOW! WHAT HAPPENED When Somebody Asked Beyonce’s Racist Sister To Sit Down At A Concert?,fake
 Trump Supporters Already Regret Voting For Him And Here’s The Hilarious Proof,fake
 Why The Secret Service Is Investigating Glenn Beck (VIDEO),fake
 The White House Has Gone Dark And CNN Is NOT Having It,fake
SOCIALIST Bernie Sanders Asks Trump’s Pick For Education Sec If She’ll Agree To FREE College…Gets Embarrassing Public SMACK DOWN [VIDEO],fake
 A MASSIVE Screw Up May Have Just Cost Trump The Nomination – And It’s All His Fault,fake
BREAKING: RUSSIA SMELLS OBAMA’S FOREIGN POLICY WEAKNESS AND MAKES A MOVE,fake
 Chris Cuomo SLAMS Trump For Promising “A Lot Of Things That Can’t Be Done” In Energy Speech (VIDEO),fake
DELUSIONAL DEMOCRAT AL GREEN: “I Will Draw Up Documents of Impeachment” [Video],fake
 ‘Millennials Rising’ Republican Super PAC Almost Entirely Funded By One 72-Year-Old White Guy,fake
EXPOSE THE LIES: Shut Down Planned Parenthood’s Phone Lines,fake
"#LockHimUp Former Oversight Chair Jason Chaffetz: If Comey’s Leaked Memos Contained Classified Information, He Should Have Handcuffs On And Go To Jail",fake
 Uncovered Video: Trump Makes CREEPIEST Comments Yet About His Daughter (VIDEO),fake
Two Danish journalists wounded in Islamist knife attack in Gabon,real
 Jimmy Kimmel Is Pretty Sure He Knows Exactly Why Donald Trump Hasn’t Released His Taxes (VIDEO),fake
HERE’S WHAT Feminists Left Behind After Their Day-Long Hissy Fit…Clearly They’re Not Too Worried About The Environment,fake
WATCH The White House Christmas Tree Arrival Ceremony [Video],fake
EMBARRASSING: Obama Spends Final Hours With Troops Defending His Failure As Commander In Chief…Bashing Trump [VIDEO],fake
Factbox: Short list of potential picks for Trump administration,real
BOOM! CONSUMER CONFIDENCE SOARS To Level Americans Haven’t Seen Since Another Republican Was President…MEDIA SILENT,fake
AMERICAN UNIVERSITY HIRES Former Islamic Terror Recruiter: “I trust him” [VIDEO],fake
 NY Attorney General On Trump University: ‘This Is Straight Up Fraud’ (VIDEO),fake
The Angry Left Attacks Trump for Letting 11-Year Old Mow White House Lawn [Video],fake
" Trump STRANDED, In Full Panic As ANOTHER Performer Drops Out Of Inauguration (DETAILS)",fake
FLASHBACK: WATCH TED CRUZ Promise To Support Donald Trump As Republican Candidate [Video],fake
CIA GATEKEEPER? CNN’s Chris Cuomo says Americans are ‘criminals’ for reading WikiLeaks’ Clinton email dump,fake
US Media Hyped ‘Active Shooter’ Drill at Andrews Base As Real Event,fake
Pay Off: The Establishment Rewards Comey with $2 million Book Deal,fake
OBAMA RACES TO SET GITMO TERRORISTS FREE…Leaves Servicemen Punished For Making “Heat-of-the-battle decisions that saved lives” In Fort Leavenworth,fake
 Donald Trump Posts A Picture Of Himself With Ronald Reagan And All Hell Breaks Loose (TWEETS),fake
"TV Reporter FIRED After Being Caught On Video Calling A Cop A “F***ing Piece Of S**t” In Disgusting, Vulgar Tirade [VIDEO]",fake
JUST IN: Anti-Putin Banker Claims Firm Tied To Clinton Campaign Assisted Russians In Effort ‘To Have Me Imprisoned And Killed’,fake
JUDGE ROY MOORE BLASTS Latest Accuser’s Press Conference With Same Liberal Lawyer Who Tried To Take Down Trump: “I Don’t Even Know The Woman”,fake
"Japan, U.S. agree economic talks should produce 'concrete results' near term",real
 Tony Perkins: Christians Are Living In ‘Spiritual Ghettos’ Under Left-Wing Rule (VIDEO),fake
LOL! Marshawn Lynch’s Mommy Comes To Her Son’s Defense After Trump Calls Him Out For Disrespecting U.S. Flag During NFL Game In Mexico: “what NFL team do Trump own ?”,fake
MUST WATCH: Trump Supporter Unleashes Truth On Fox Pundits: “Americans are tired of fighting other people for jobs!”,fake
SECRET DUMPS OF TOXIC WASTE ON PRIVATE PROPERTY BY EPA: Will The Government Bullies At The EPA Finally Be Exposed?,fake
"(VIDEO) FRIDAY NIGHT’S HYSTERICAL TAKE ON THE BOEHNER, MCCONNELL, CRUZ TUSSLE",fake
DETECTIVE ON SETH RICH Murder Mystery Drops Shocking News [Video],fake
 Trump Takes His Voter Fraud Conspiracy To A TERRIFYING New Level,fake
" Racist Trump Fan Arrested By FBI For Threat On Obama’s Life, Had Bombs",fake
" Mothers Of The Movement Bring DNC To Tears, So Right-Wing Racists Come Out In Droves (VIDEO)",fake
"For Chinese officials, Trump perhaps better the devil they don't know",real
"BREAKING: STARBUCKS CEO To Step Down After Pledge To Hire 10,000 Refugees BACKFIRES",fake
 FL Crowd Says ‘Amen’ When ‘Christian’ Man Brags About Molesting Children And Getting Away With It (VIDEO),fake
Boycott! Singer John Legend Calls Trump “An Embarrassment”…Asks For ‘Out of Shape’ White People to Play Trump Supporters in Music Video,fake
McPain: John McCain Furious That Iran Treated US Sailors Well,fake
Billionaire ‘Bilderberger’ David Rockefeller dead at 101,fake
WATCH BILL O’REILLY’S EXCLUSIVE INTERVIEW With President Trump [Video],fake
"Collapsing: Why the ‘Russia Hack’ Witch Hunt Will Not End Well for Congress, or America",fake
REVEALED: Who Gave Democratic Emails To Wikileaks And Why They Were A Leaker And NOT A Hacker [VIDEO],fake
" Christie Goes Ballistic On Cruz For ‘Awful, Selfish Speech’",fake
UNIVERSITY WARNS: Make Sure Your Holiday Party Is Not A “Christmas Party” In Disguise,fake
VIOLENT ENVIRONMENTAL LUNATICS Cost Taxpayers MILLIONS To Protect Trump’s EPA Director After Receiving “Unprecedented” Number of Credible Death Threats,fake
BREAKING BOMBSHELL: WEINER IS COOPERATING…FBI Didn’t Need Warrant…NOT Good News For Crooked Hillary [VIDEO],fake
 Bombshell Reveals Nazi Connection To the Koch Brothers,fake
 RESULTS ARE IN: New Post-Debate Poll Shows MAJOR Swing In Very Key Demographic (VIDEO),fake
 Comey GOING PUBLIC With Russia/Trump Investigation After Pressure From Congress,fake
(VIDEO) UN CLIMATE CHANGE FREAKS: “We should make every effort to decrease the world population”,fake
 Trump Brags About Hurricane Size As Florida Braces For Disaster,fake
Measure to hike California's minimum wage to $15 qualifies for ballot,real
 Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling (VIDEO),fake
"PELOSI’S HACKED EMAIL SHOWS TOP-SECRET Memo To Staffers: Make #BLM Activists Think Dems Are On Their Side, But Don’t Let Them Come In Large Groups…”DO NOT Say ‘ALL Lives Matter!”",fake
Libyan coast guard rescues more than 250 migrants trying to reach Italy,real
"Senators question Kaleo' $4,500 tag on opioid overdose treatment",real
Trump wants ex-Goldman partner Mnuchin to run U.S. Treasury: Fox Business,real
California poised to shut out Republicans from U.S. Senate race,real
 Trump Shocked As New Poll Reveals The Future Of Trumpcare; It’s Worse Than You Thought (Details),fake
HILLARY Calls On CRANKY SOCIALIST She Stole Election From To Sway Free Sh*t Voters [VIDEO],fake
ANGRY Venezuelans CHASE Their President…Bang On Pots And Yell [Video],fake
" Tired Of Things Going Well, Marco Rubio Makes Promise To Destroy America Again (VIDEO)",fake
WOW! TRUMP HELPS HILLARY SEE Her First Big Crowd…You Won’t Want To Miss This! [VIDEO],fake
 Bundy Militant Files $666 BILLION Lawsuit Against Government For ‘Damages From The Works Of The Devil’,fake
Trump picks former U.N. spokesman Grenell for ambassador to Germany,real
 Identities Of Arrested Anti-Racist Stone Mountain Protesters Released (VIDEO),fake
 BUSTED: Trump Supporters Get Caught Creating Fake Badges To Intimidate Voters At Polling Places,fake
 Conservative Dream Come True: Judge Grants Rapist Joint Custody Of Victim’s Child,fake
LOBBYING FOR VOTES? How Trump Could LEGALLY Fly The 200 Must Have Delegates To Mar-a-Lago For A Luxurious Weekend,fake
BREAKING: WORLDSTAR HIP HOP Site Releases Rap Video…Blames “Hypocrite” Hillary For Not Acknowledging Bill Clinton’s Black Son…Doesn’t Care About Blacks [VIDEO],fake
FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,fake
Mid Summer Anger: Oliver Stone Waxes US Establishment’s Russia Conspiracy Theory,fake
 Here’s The Latest Reason Conservatives Are Calling Michelle Obama A N***** (SCREENSHOTS),fake
Republicans seek special counsel's removal from Russia probe,real
Russia may seize U.S. property if its own compounds not returned: Kommersant,real
 Pence Says There Is ‘Too Much Talk’ About Racism In Policing And Institutional Bias,fake
Britain says expects most EU citizens can stay after Brexit,real
WOW! BRAVE VETERAN CONFRONTS FERGUSON THUGS STOMPING ON U.S. FLAG: “My Brothers Died For That Flag!” [VIDEO],fake
JOHN MCCAIN ATTACKS President Trump From Hospital Bed Only Days After Brain Cancer Diagnosis,fake
Boiler Room EP #67 – The Choice of a Screwed Generation,fake
 SNL Perfectly SLAMS Trump Supporters With ‘Racists For Trump’ Campaign Ad (VIDEO),fake
BREAKING: OFF-DUTY POLICE OFFICER Suspended For Driving By BUTT-HURT TRUMP-HATERS With Confederate Flag On Truck,fake
SERIOUSLY? PRO-ILLEGAL ALIEN Supporters Demand Cops Explain Why They Can’t Physically Attack Trump Supporters [VIDEO],fake
BOILER ROOM – Presidential Debate Simulcast Special,fake
 Cowardly GOP Rep. Files Police Complaint Against SENIORS Because He’s TERRIFIED Of Dissent,fake
 SIX Witnesses Corroborate Sexual Assault Claim Made By ‘People’ Writer Against Trump,fake
HILLARY CHEATED! Who Really Fed Hillary The Answers To Her Questions At Veteran’s Forum?,fake
WOW! Sheriff Clarke DESTROYS Lie That Obama Is Helping Black Community With BRUTALLY HONEST Commentary On This Photo-Op,fake
OKLAHOMA LAWMAKER BLASTED FOR SAYING: “Shouldn’t Mosques Be Removed After 911 by ANTIFA Logic?” [VIDEO],fake
ALBUM SALES SKYROCKET! A Star Is Born With One Awesome Grammys Dress,fake
Son Of Egyptian Immigrants Hopes To Become FIRST MUSLIM GOVERNOR In U.S…Will Push For “Sanctuary State”,fake
BOMBSHELL REPORT: NSA OFFERED TO GIVE HILLARY’S EMAILS To FBI…James Comey Rejected Them,fake
FAKE NEWS WEEK: Electronic Voting – The Big Lie That Just Won’t Die,fake
 GOP Voters Declare #NeverTrump & #RepublicansForHillary As Donald Is Named The Nominee (TWEETS),fake
WATCH: ARROGANT Sexual Predator and Sometimes “Comedian” Louis C.K. Tells Stephen Colbert “Donald Trump Is An Insane Bigot and Hitler”,fake
New Hampshire governor asks Trump to stop Indonesian deportation effort,real
 White Nationalist Radio: Trump Gave Us A Press Pass And We Interviewed His Son,fake
"BLOODY 4TH OF JULY WEEKEND UPDATE: Obama’s Hometown Of Chicago…64 Shot, 6 Killed, Including 39 Yr Old Father, 3 And 10 Yr Old Daughters…Black Reverend Cautions Those Who Blame Guns or Cops",fake
POPE SHAMES AMERICANS From Mexico For Anti-Immigrant Sentiment…Doesn’t Mention $BILLIONS Taxpayers Give Faith Based Charities To Bring MUSLIM Immigrants To U.S.,fake
HOPE FOR FORGOTTEN AMERICA…Why Trump Is Last Chance For This Steel Town Where 94% Of Jobs Have Gone [VIDEO],fake
" Twitter BLASTS Whole Foods For Yet Another Expensive, Unnecessary Product (TWEETS)",fake
DEAR MR PRESIDENT: Listen To Your Own FBI Director And Homeland Security Tell Us We CANNOT Properly Screen The Syrian “Refugees” [Video],fake
Episode #174 – SUNDAY WIRE: ‘Fake News’ Week In Review,fake
"Russia says continues dialogue with Washington on North Korea, Iran: RIA",real
BRUCE SPRINGSTEEN Releases Anti-Trump Song Calling The President A “Con Man”,fake
FULL INTERVIEW: Judge Jeanine Pirro’s In-Depth Interview With President Trump [Video],fake
 Seven-Year-Old Boy Accidentally Kills Father With High-Powered Rifle,fake
Obama says urges a wait-and-see approach on Trump proposals,real
"COMEDY GOLD! Bernie Sanders Has HILARIOUS Meltdown Over Repeal Of Obamacare: “If You Are Old..If You’re 55-60 Yrs Of Age And Don’t Have Health Insurance, You Will Die!” [VIDEO]",fake
Boiler Room #95 – Weapons of Mass Penetration,fake
WHOA! Woman Born In NAZI GERMANY Says Trump Doesn’t Remind Her Of Hitler….Rioting Leftists Trying To Shut Down Free Speech Does,fake
HACKED! COMMIE GEORGE SOROS Hacked By DC Leaks!,fake
Indonesian parliament speaker quits amid graft investigation,real
 Bigoted Cops Shove Lesbian Out Of Women’s Bathroom Because She Looks Like A Man (VIDEO),fake
 Democratic Senator Joins #THERESISTANCE: Says Trump Stole Obama’s SCOTUS Seat (DETAILS),fake
" Stephen Colbert And His Audience Absolutely Pummeled Bill O’Reilly, And It Was Spectacular (VIDEO)",fake
 Donald Trump Gets Mercilessly Mocked For Calling His Pathetic Apology A ‘Great Success’,fake
PRICELESS! WATCH MSNBC HOST’S Shocked Response When GOP Lawmaker Calls For “Purge” of “Deep State” FBI and DOJ,fake
 Louis C.K. Tears ‘Insane Bigot’ Donald Trump Apart In Devastating Rant: ‘The Guy Is Hitler’ (IMAGE),fake
"WELL, DUH! Transgender Wins International Women’s Weightlifting Title",fake
 Another White Trump Supporter Assaults A Black Man At A Terrifying Rally In The South (VIDEO),fake
 Former KKK Leader Thanks Trump’s VP For Being So Nice (AUDIO),fake
 Detroit Mayor Blasts Trump’s ‘Phony’ Black Church Visit,fake
"LEFTIST BABYSITTING SERVICE Allows Parents To Riot, Protest, Bully Trump Supporters While Kids Are Indoctrinated At Home",fake
BIG MISTAKE! HILLARY JUST Proved To America She’s Committed To Keeping Obama’s Divisive Race War Going,fake
STEVIE WONDER SLAMS Black Lives Matter At MN Peace Conference: “You Cannot Say ‘Black Lives Matter’ and Then Kill Yourselves” [VIDEO],fake
 Karma In All Its Glory: Republican Chairwoman Forced To Resign Over ‘Obama Is A Chimp’ Facebook Post,fake
 WATCH: Trump’s Treasury Sec. Steve Mnuchin Says NFL Players Have No Right To Free Speech,fake
 WATCH This GOP Rep. Angrily Offer A Gift To His Fellow Republicans For Rejecting Zika Funding,fake
REMEMBER WHEN Democrat Operatives Were Caught Bragging About Their Voter Fraud Operation In WI? [VIDEO],fake
OBAMA UNDERMINES AMERICA…Plans To Slash Nuclear Stockpiles…Again,fake
 ‘Drain The Swamp’ Trump Is Now Doing White House Ads For Corporate America (VIDEO),fake
 Trevor Noah Roasts Jeb Bush’s Pathetically Desperate Effort To Remain A Viable Candidate (VIDEO),fake
 NYPD So Delighted With Cop Who Killed Eric Garner They Now Pay Him $120K,fake
 Ohio Fireman In Deep Sh*t For HORRIBLE Remarks About Saving ‘N*****s’,fake
 RIGGED: Hillary Wins Popular Vote As Republicans Claim WH Victory,fake
" GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia",fake
 Clinton Ad SLAMS Trump For His Disgusting Insults Towards Women And Their Bodies,fake
 CNN Just TORPEDOED Donald Trump With Facts To PROVE He Lied About Them Again,fake
" According To The New White House Chief Strategist, Liberal Women Are Just ‘A Bunch Of Dykes’",fake
OBAMA AND VALERIE JARRETT Finalize Executive Action Gun Control Proposal,fake
"While wealthy Mexicans swamped by quake aid, poor feel abandoned",real
 Trump Loves To Say The New York Times Is ‘Failing’ – So They Just Effortlessly Embarrassed Him With Simple Numbers,fake
AWESOME! PRESIDENT TRUMP Draws Red Line On Saying “Merry Christmas” [Video],fake
 Trump Doesn’t Want His Supporters To Know His REAL Stance On Gun-Free Zones,fake
MASSACHUSETTS VOTES TO IGNORE FED LAW and Let Illegals Go…This Sanctuary State Endangers All Americans!,fake
WOW! TUCKER AND JESSE Destroy The Liberal Kooks Protesting Trump [Video],fake
WHY TRUMP’S OWN CHILDREN WON’T Be Voting For Him In NY Primary,fake
KEITH SCOTT’S BROTHER Tells Charlotte Reporter: “All White People Are F*#ckin’ Devils…All Cops Are F*#ckin Devils”,fake
 BUSTED: Uncovered Video Shows Trump Supporting Hillary In 2008 (VIDEO),fake
"Cruz & Kasich Quit: Trump Crushes Elite Establishment, #DropOutHillary Now Trending",fake
 Trump Fan Drives Jeep Through Crowd Of Protesters (VIDEO),fake
BUSTED! NANCY PELOSI Claims No Meeting With Russian Ambassador…Photo From 2010 Proves Otherwise! [Video],fake
"Juncker wants EU finance minister, no separate euro budget or parliament",real
BROTHER OF SETH RICH Works For Cyber Security Firm…Reportedly BLOCKED Family’s Private Investigator From Determining If Seth Was Wikileaks Source…Refused To Let Investigator See Seth’s Computer: “I already checked it…Don’t worry about it”,fake
NANCY PELOSI’S Latest Over-The-Top Claim: Trump will “take food out of the mouths of babies and seniors”,fake
SENATOR ELIZABETH WARREN Tries To Trash Republicans With Latest Tweet…But It’s What’s Sitting On Her Desk That Has Everyone Laughing,fake
" Trump Explains Why He Fired James Comey, F*cks Up And Admits He Should Be Impeached (VIDEO)",fake
CLINTON GAVE Special Appointment To Estee Lauder Exec After Multi-Million Dollar Donation…Pay To Play!,fake
 Right-Wing Firefighter Suspended After HORRIFIC Threat To Barack Obama (SCREENSHOTS),fake
 Bernie Sanders Lets Chuck Todd Know If He’s Willing To Be Vice President (VIDEO),fake
Congress should give Puerto Rico debt restructuring authority: White House,real
"BRITISH TV PERSONALITY: Don’t Blame Trump For Muslim Ban Comments , He Speaks For The Masses…Who Can Blame Americans For Not Wanting To End Up Like UK? [VIDEO]",fake
 Bryan Cranston Shows Up On SNL To Hilariously Mock Trump’s Ridiculous Cabinet Picks (VIDEO),fake
HILLARY COULDN’T FIND 125 WOMEN TO BUY TICKETS TO ‘Women Only’ FUNDRAISER…Forced To Sell Tickets To Men,fake
"TEXAS CHURCH SHOOTER: Years Before ‘Soft Target’ Attack, Gunman Tried to Carry Out Death Threats on CIA Linked Air Force Base",fake
No deal on tax among German coalition parties: conservative politician,real
 Tea Party Superstar Gets WRECKED After Obama ‘N****r’ Tweet,fake
JUST IN: Obama Regime Helped Terror Group #Hezbollah Traffic Drugs In U.S “So The Iran Nuke Deal Would Go Ahead”…Proceeds Were Allegedly Used To Design New IED’s That Killed US Troops In Iraq,fake
 Elijah Cummings Made Sure The GOP Is Well Aware They’re Hypocritical A**holes Regarding Flint,fake
 Hatred For The Republican Party Reaches 25 Year High,fake
KARMA! BIRTHDAY BOY BILL CLINTON HECKLED BY KIDS ON THE GOLF COURSE,fake
 Texas Schools Proposed Textbooks : Mexicans Are Lazy And Want To Destroy Society,fake
 Target Just Made A Major Move That’s Going To Blow Conservative Minds (VIDEO),fake
WHY OBAMA IGNORED MURDER BY ILLEGAL ALIEN IN SANCTUARY CITY: You Have Never Seen Megyn Kelly This Mad Before!,fake
Pakistan debates how to fill education gaps,real
"Activists or Terrorists? How Media Controls and Dictates ‘The Narrative’ in Burns, Oregon",fake
"TOMI LAHREN: “I Guess Jill Stein Wants To See Hillary Be The First Female To Lose The Election, Twice” [VIDEO]",fake
FORMER SECRET SERVICE AGENT EXPLAINS TRUMP: “He’s a Queens guy”….”It’s time for the brawler” [Video],fake
 Donald Trump Just Changed His Twitter Header And The Whole Internet Is Making Fun Of Him (TWEETS),fake
Argentina judge says death of prosecutor Nisman was murder,real
"BUNDY SON AND RANCHERS POST VIDEOS On Facebook: Speak Out Against “Lies on social media,” Explain Why They’re Fighting Tyrannical Government",fake
 Heckler Screams ‘F*ck Hillary’ At Clinton Rally – And She Just Laughs At Him (VIDEO),fake
"WATCH: SMARTPHONE CAPTURES NEW BOATLOAD OF “Scared, Hungry Women and Children” On Their Way To Europe…While 6.6 MILLION More Are Waiting To Cross",fake
Did OPRAH Just Leave “Nasty” Hillary Wishing She Wouldn’t Have Endorsed Her? [VIDEO],fake
BOILER ROOM – EP #50 – 1 Year Anniversary Extravaganza!!!,fake
Illinois governor reports $188.1 million in 2015 personal income,real
U.N. chief says no communication with North Korea is dangerous,real
" WATCH: Arnold Schwarzenegger Just BURNED Trump Over ‘The Apprentice,’ And It Is GOLDEN",fake
France to discuss possible new Rafale sale with Egypt's al-Sisi: Le Maire,real
Trump Thanks Putin for Slashing US Embassy Staff: ‘It Cut Our Payroll’,fake
" Republican Congressman Rejects Trump In Scathing Open Letter, Will Vote For Hillary",fake
 Trump Just Told Prince Charles To Eat Sh*t For An Absolutely RIDICULOUS Reason,fake
