article,truthfulness
Oklahoma Supreme Court strikes down restrictive abortion law,real
"Only five ministers, attorney general turn up for Zimbabwe cabinet meeting: sources",real
"Protesters throw rocks, bottles at police outside Trump rally in New Mexico",real
"Trump, after talk with China's Xi, says North Korea faces more sanctions",real
"U.N. warns millions at risk in Yemen, urges Saudi coalition to open ports",real
Trump-backed Navy expansion would boost costs some $400 billion over 30 years: study,real
"U.S. Air Force picks Raytheon, Lockheed for next-gen cruise missile",real
"Presidential hopeful wants Finland out of EU, says nationalists will bounce back",real
White House divisions on display with Scaramucci's comments,real
 WATCH: Conservative Activist Openly Declares That Contraception Should Be Illegal,fake
Xi calls for concerted effort to resolve Korean peninsula issue: Xinhua,real
[VIDEO] WHAT JERRY SEINFELD HAS TO SAY ABOUT OVERLY PC COLLEGE KIDS WILL MAKE THE LEFT CRAZY,fake
U.S. citizen on the run after busting out of Bali prison,real
"Rights group voices fears over Trump refugee plan, torture",real
"Trump aide says no decision on Clinton prosecutor, now focused on unity",real
Clinton expands lead over Trump to 13 points: Reuters/Ipsos poll,real
Trump may reinstate secret CIA 'black site' prisons: U.S. officials,real
 Trump Fan Drives Jeep Through Crowd Of Protesters (VIDEO),fake
U.S. opens door to a change in blood donation policy for gay men,real
UNIVERSITY WARNS: Make Sure Your Holiday Party Is Not A “Christmas Party” In Disguise,fake
Democratic senators urge speed on Supreme Court nominee,real
"Trump not aware of 2016 meeting between son, Russian lawyer: legal spokesman",real
One dead after light aircraft collides on Caernarfon runway,real
Japan PM says forex policy should not be discussed by leaders,real
Michigan governor asks Obama for federal aid in Flint water crisis,real
LEO DITCHES HILLARY: Shady Excuse Doesn’t Fly In DiCaprio Fundraiser Cancellation,fake
Trump paid $38 million in taxes in 2005: White House,real
Truck bomb in northern Iraq kills at least 23,real
Trump aide Greenblatt heads to Israel after Jerusalem announcement,real
WOW! NEWS ANCHOR Hammers Obama On His Pro-Muslim Speech At Radical Mosque [Video],fake
Germany says EU states must implement court ruling on migrants swiftly,real
Trump wants ex-Goldman partner Mnuchin to run U.S. Treasury: Fox Business,real
(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,fake
"WATCH: SMARTPHONE CAPTURES NEW BOATLOAD OF “Scared, Hungry Women and Children” On Their Way To Europe…While 6.6 MILLION More Are Waiting To Cross",fake
Senator Jeff Sessions to endorse Trump White House bid: Drudge Report,real
 Karma In All Its Glory: Republican Chairwoman Forced To Resign Over ‘Obama Is A Chimp’ Facebook Post,fake
 Republican Mailer Threatens To Out Voters To Neighbors If They Vote Democrat,fake
GERMANY: Afghan “Teen” Refugee Who RAPED and KILLED Female Med Student and Refugee Volunteer Is Actually 33-Years Old…And There’s MORE!,fake
China warns Taiwan not to rely on foreigners after attack threat,real
House Speaker Ryan: lawmakers likely to come together on Puerto Rico,real
Trump's low approval rating masks his support among likely voters: Reuters/Ipsos poll,real
" FBI Releases DAMNING Information About Russian Collusion, Trump TERRIFIED",fake
Obama And Kerry Exposed: Secret Side Deals With Iran And No Nuclear Agreement,fake
We'll lift Russia sanctions when east Ukraine is peaceful: Merkel,real
"Islamic State killed more than 60, dozens missing in Syrian town: governor",real
Greece and Turkey trade barbs as Erdogan visits Athens,real
Iran says 'biased' French stance threatens Middle East stability,real
"WATCH: KELLYANNE CONWAY Gives Dreaded Answer To Liberal Hack, “This Week” Host George Stephanopoulos’ Question About Trump’s Plans To Run In 2020",fake
"Hastert loses one Illinois pension, keeps another after sentencing",real
Newly freed Pakistani Islamist calls ex-PM Nawaz Sharif a 'traitor',real
House Speaker does not rule out amendments to debt limit bill,real
MEDIA DOWNPLAYS Attack By Unhinged Neighbor On Senator Rand Paul…’Minor Injuries’ Not So Minor,fake
Egyptian rights lawyer says he'll run for president in 2018,real
New Jersey's Christie vetoes bill seeking Trump's tax returns,real
"Brexit deal could be template for EU ties to Ukraine, Turkey, Germany's Gabriel says",real
"FARRAKHAN DEVOTEE, COP HATER AND RAPPER, ‘KILLER MIKE’ To Speak At SOLD OUT Event At Prestigious MIT University",fake
Congress should give Puerto Rico debt restructuring authority: White House,real
Senators urge Trump to avoid blockade of Venezuela oil shipments,real
‘SLEEPY’ JUSTICE GINSBURG: Excites Crowd By Saying She’d Back Abolition Of The Electoral College [Video],fake
Liberia's ruling party alleges election irregularities,real
Russia may seize U.S. property if its own compounds not returned: Kommersant,real
Cuba calls Trump's U.N. address 'unacceptable and meddling',real
"Factbox: Five facts about Mike Pompeo, expected to replace Tillerson",real
UK PM May: We will not revoke Article 50 EU exit process,real
Austria's Freedom Party criticizes ECJ ruling on migrant quotas,real
France's Macron says external powers must stop interfering in Lebanon,real
Trump taps Retired General Kelly to lead Homeland Security: statement,real
Trump says to approve lifting restrictions on South Korea missile payload limits,real
Obama avoids pipeline comment but urges tribal sovereignty,real
(VIDEO) DESPERATION? CLINTON CAMPAIGN PANDERS TO RADICAL BLACK GROUPS,fake
"Trump interviews four for Fed chair job, to decide in two-three weeks",real
U.S. lawmakers say Afghanistan corruption threatens future spending,real
"Trump tries to move past controversies, says he is keeping promises",real
Trump picks former U.N. spokesman Grenell for ambassador to Germany,real
Kushner to make statement to the press after speaking to lawmakers,real
Turkey has completed purchase of Russian missile defense: defense minister,real
HOPE FOR FORGOTTEN AMERICA…Why Trump Is Last Chance For This Steel Town Where 94% Of Jobs Have Gone [VIDEO],fake
AT&T lawyer says U.S. effort to stop Time Warner deal 'foolish': CNBC,real
 The Pope Just Called Most American Employers (And Donald Trump) ‘Bloodsuckers’,fake
Louisiana governor to sign law making police killings hate crimes,real
ANTI-HILLARY POSTERS POP UP All Over Hollywood…Great timing!,fake
Australia finds wreck of first Allied submarine to sink in World War One,real
House speaker tells Trump healthcare bill lacks votes: CNN,real
"Russia says continues dialogue with Washington on North Korea, Iran: RIA",real
Al Qaeda warns Myanmar of 'punishment' over Rohingya,real
Kremlin says too early to react to Trump nuclear cuts offer,real
Explosion in Mali kills three U.N. soldiers from Bangladesh,real
"U.S. Senate votes near unanimously for Russia, Iran sanctions",real
Trump cancels California event to stay in New York,real
Trump does not think U.S. should copy Australia's health system: White House,real
DISMISSED: Trump Fires Scandal Plagued FBI Director James Comey – What Does It Mean?,fake
Iran 'hopes Hariri will remain Lebanon's prime minister',real
Obama makes no mention of Trump in first major post-presidential appearance,real
Disputed CFPB acting director plans to seek preliminary injunction: filing,real
 Evan McMullin: ‘Never In His Life’ Has Trump Had To Watch His Mouth (VIDEO),fake
 Cruz Trying To Hold Fiorina’s Hand Is More Awkward Than A Middle School Dance (VIDEO),fake
NATIONAL ENQUIRER ENDORSED TRUMP…Then Dropped YUGE Bombshell: “CRUZ’S 5 SECRET MISTRESSES”,fake
Police investigating militants search Brussels houses,real
McConnell says deep State Department budget cuts won't pass,real
Kansas lawmakers to hash out fiscal 2017 budget fix,real
"China, U.S. create 'miracle' with $253.4 billion in dealmaking: Zhong",real
Palestinian prime minister visits Gaza in move to reconcile with Hamas,real
"Nothing should change, says Britain in bid for post-Brexit security pact",real
Florida legislature approves controversial abortion restrictions,real
Venezuelan opposition pins hopes on elections as protests falter,real
"As Republicans aim to ride economy to election victory, a warning from voters in key district",real
Trump: Being friends with North Korea's Kim is possible,real
Trump travel restrictions hit demand for visits to U.S.: study,real
Democrats in disarray on eve of convention to nominate Clinton,real
 Donald Trump Is Clearly Panicking; Avoiding The People Who Voted For Him,fake
"BRITISH TV PERSONALITY: Don’t Blame Trump For Muslim Ban Comments , He Speaks For The Masses…Who Can Blame Americans For Not Wanting To End Up Like UK? [VIDEO]",fake
"Illinois House enacts FY 2018 budget, ending record impasse",real
"U.S. can still hit climate goals despite Supreme Court pause, White House says",real
Senate set to vote Thursday on limiting Supreme Court nominee debate,real
Ex-head of Colorado Republicans charged with voter fraud,real
EPA chief says Paris climate agreement 'bad deal' for U.S.,real
Liberia electoral commission says fraud claims lack evidence,real
U.S. defense elite rally behind Trump's unusual Pentagon pick,real
 Tiffany Trump Is Sad As Hell After Whole Family Completely Forgot Her Birthday,fake
"Sudan general, nine soldiers killed in Darfur clashes: SUNA",real
Sen. McConnell says expects Puerto Rico funding request by mid-October,real
" New Poll Shows How Batsh** CRAZY Trump Fans Are, Gives Them A BRUTAL Reality Check (IMAGES)",fake
Austrian president tells Kurz to heed 'European values' on coalition,real
Merkel wants outline coalition deal with SPD by mid-January,real
Homeland Security secretary expects wall to be 'under way' within two years,real
You're fired! U.S. school debaters' dim view of Trump's podium style,real
Russia U.N. envoy says U.S. sanctions will not change Moscow,real
BUSTED! NANCY PELOSI Claims No Meeting With Russian Ambassador…Photo From 2010 Proves Otherwise! [Video],fake
Trump to broaden exemptions to Obamacare birth control mandate: report,real
"Italian parliament passes 2018 budget, clearing way for elections",real
Ryan says expects legislation to replace Obamacare this year,real
"From Syria to North Korea, Tillerson would inherit a messy global situation",real
Trump's choice for U.S. attorney general says he can stand up to him,real
Merkel says she would prefer new elections over minority government,real
"Russia, Iran sanctions bill hits roadblock in U.S. House",real
"U.S. Senate's Reid, in last round, jabs outside money in Nevada succession fight",real
Congressional race in Virginia shows Trump drag on Republicans,real
Conservative firebrand defeats Trump pick in Alabama primary for U.S. Senate,real
Factbox: Legal issues in Supreme Court immigration case,real
"DONALD TRUMP JR., JUST HUMILIATED Michael Moore In Front Of Millions On Social Media…And It Was SPECTACULAR!",fake
U.S. Supreme Court to decide major case on Obama immigration plan,real
Measure to hike California's minimum wage to $15 qualifies for ballot,real
Iraq Kurds seek international help to lift sanctions imposed by Baghdad,real
Islamic State guerrilla attacks point to its future strategy,real
European Parliament wants Britain to end discrimination against EU citizens: draft,real
 Donald Trump On Accusations Of Sexual Assault: Mexico Did It,fake
China top graft buster says corruption fight 'world class hard',real
White House welcomes Supreme Court ruling on electricity markets rule,real
London police arrest woman after incident at Prince George's school,real
Suicide bomber kills at least 18 at police academy in Somalia's capital,real
Exclusive: Trump targets illegal immigrants who were given reprieves from deportation by Obama,real
Puerto Rico governor cites 'sharp contrast' with island's overseers,real
Japan's Abe vows to put education spending before budget balance,real
Trump Supreme Court nominee Gorsuch seen in the mold of Scalia,real
 WATCH: Democrats Release Video PERFECTLY Highlighting Hypocrisy Of Trump’s Appointments,fake
Judge tells Trump University litigants they would be wise to settle,real
Democratic leader Schumer emerges as Trump's newest punching bag,real
“Peaceful” Muslims Scream: “THIS IS FOR ALLAH” After Driving Van 50 MPH Pedestrians…3 ARMED Terrorists On Run In Gun-Free London…Britain’s PM Calls It “Potential Act Of Terror” [VIDEO],fake
Death toll in collision between Tunisian navy and migrant boat reaches 34,real
Senators criticize Trump's information shut-out to Democrats,real
"Kurdish demonstrator killed, 6 wounded in Iraqi city of Khanaqin: mayor",real
London art auction raises $2.5 million for survivors of deadly Grenfell Tower blaze,real
Trump questions why U.S. Civil War had to happen,real
Turkey starts trial of 30 newspaper staff for links to coup attempt,real
" OOPS: Hypocrite Trump Accuses Amazon Of Not Paying Taxes, Except They Do",fake
"HILLARY’S CAMPAIGN MANAGER STAMMERS When Asked Why Using Trump’s Stolen Tax Returns Are Okay, But Wikileaks Emails Aren’t [VIDEO]",fake
U.S. military says will not disclose details on injured service members,real
Trump angers UK with truculent tweet to May after sharing far-right videos,real
 Ben & Jerry’s Ice Cream Founders Get Arrested At U.S. Capitol,fake
EU's Juncker offers carrot and stick to eastern states,real
Islamic State's footprint spreading in northern Somalia: U.N.,real
Britain will not pay 'a penny more' than it thinks right to leave EU: Boris Johnson,real
Romney: It's 'disqualifying' for Trump not to release tax returns,real
 Bystander Uses Baseball Bat To Stop Man From Crushing Toddler’s Head ‘For God’ (VIDEO),fake
"Refusing to sit on lead, Trump gets bitter in Republican debate",real
Supreme Court gives Hawaii until Tuesday to answer Trump travel ban motion,real
 Saturday Night Live Takes On GOP Cowardice In Stunningly Accurate Faux Movie Trailer (VIDEO),fake
"Turkey says U.S. isolated on Jerusalem, issuing threats",real
South Africa's Ramaphosa gets most nominations ahead of ANC leadership vote,real
"COWARDLY BLACK BLOC THUG Dane Powell Pleads Guilty…Faces 6 Yrs In Prison For Rioting, Assaulting Police During Trump’s Inauguration [VIDEO]",fake
Pence fires up anti-abortion activists in Washington march,real
Zimbabwe court grants bail to U.S. citizen charged with subversion,real
EU exec proposes deeper euro zone integration to unite EU,real
Trump considering how move of U.S. Embassy in Israel could affect Mideast peace,real
 Heckler Screams ‘F*ck Hillary’ At Clinton Rally – And She Just Laughs At Him (VIDEO),fake
"Israel says Hezbollah runs Lebanese army, signaling both are foes",real
Turkish tanks drill on Iraqi border week before Kurdish vote,real
"Obama tells Latin America and world: give Trump time, don't assume worst",real
Trump's campaign should be fair game in Trump University trial: lawyers,real
Central African president pleads to U.N.: Don't forget us,real
Texas lawyer sues Cruz to challenge eligibility,real
LOBBYING FOR VOTES? How Trump Could LEGALLY Fly The 200 Must Have Delegates To Mar-a-Lago For A Luxurious Weekend,fake
THINK AMERICA CAN’T END UP LIKE GREECE? THINK AGAIN!,fake
Britain's M1 motorway partially closed after suspicious object discovered,real
U.S. House Speaker backs intelligence panel chair in Russia probe,real
Norway says sunken Russian helicopter wreckage may have been located,real
"Kurdish leader departs, leaving nephew faced with reconciliation",real
Four Serbs get suspended sentences for 2008 attack on U.S. embassy,real
China hopes all sides' words and actions reduce tension on Korean peninsula,real
Peru's Congress ousts cabinet as political crisis deepens,real
EU reopens feud over quotas for hosting refugees,real
The Trump tightrope: Republicans weigh response with eye toward future,real
" NBA Kowtows To Racists, Orders Players To Stand For Anthem",fake
" Hillary Talks Taco Trucks, SHREDS Trump, And The Crowd Goes WILD (VIDEO)",fake
New York attorney general opens probe of Trump Foundation,real
Opponents of Cruz White House bid take case to N.Y. appeals panel,real
Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis,real
U.S. House Republicans finalize list of rules to kill in Wednesday vote,real
 This Really Happened: Fox Interrupted Trump To Criticize Him And Praised Obama,fake
Trump slams federal court ruling on funding for 'sanctuary cities',real
" Leslie Knope Writes Powerful, Heartbreaking Letter To America That EVERYONE Should Read",fake
Peru's central bank chief says Trump gives him 'goose bumps',real
Clinton's surprise Michigan loss exposes risks for her on trade,real
Trump says he has narrowed potential running mate picks to five or six: AP,real
"Watch out frontrunners, over 1,500 candidates vying for White House",real
Islamic State raises stakes with Egypt mosque attack,real
Mexico finance minister resigns to seek presidency for ruling party,real
 Racists Go CRAZY after Samuel L Jackson Trashes Trump On Jimmy Kimmel Live (VIDEO),fake
N.J. Governor Chris Christie accosts heckler in Milwaukee,real
U.S. military orders additional probe into August Somalia raid,real
Michigan governor denies misleading U.S. House on Flint water,real
Factbox: Short list of potential picks for Trump administration,real
 Donald Trump Thanks The ‘Poorly Educated’ For Handing Him Victory In Nevada (VIDEO),fake
Rebels kill 15 peacekeepers in Congo in worst attack on U.N. in recent history,real
Zimbabwean activist pastor arrested for criticizing Mugabe government,real
Obama scolds Senate Republicans for Supreme Court threat,real
"Britain to pay 400 million-pound debt to Iran soon, Iranian envoy says",real
Chinese general kills himself amid corruption probe,real
"Senator Johnson: Trump argued for repealing, replacing Obamacare",real
WHY “MODERATE” MUSLIMS DON’T SPEAK OUT: Muslim Shopkeeper Makes Video Wishing Customers “Happy Easter”…Muslim Man Stabs Him To Death [VIDEO],fake
Russian submarines fire cruise missiles at Islamic state in Syria,real
France's Occitanie region calls for Spain and Catalonia peace talks,real
Trump foundation stops fundraising in New York state,real
Ireland trying to force Northern Ireland to stay in customs union after Brexit: DUP,real
JUST IN: NYC TERRORIST Allegedly Entered U.S. On NY Democrat Senator Chuck Schumer’s ‘DIVERSITY VISA” Program,fake
Global backlash grows against Trump's immigration order,real
Spain's PM says may use constitution to block Catalan independence,real
"U.N. condemns North Korea missile launch after Russia, U.S. spar over words",real
Trump considering Dallas investor Ray Washburne for interior secretary: CNBC,real
Trump says ending chain migration will be part of a DACA deal: Fox interview,real
Turkey seeks life sentences for 60 ex-military over 1997 'post-modern coup',real
"Republicans, Democrats sharply divided over Muslims in America: Reuters/Ipsos poll",real
Trump to name National Labor Relations Board chairman: White House,real
Massachusetts ballot initiative on president tax return passes hurdle,real
 Obama’s Doing Something BIG To Raise Pay For Millions Of Americans (VIDEO),fake
Modi says India shares Myanmar's concern about 'extremist violence',real
 Everyone Is Freaking Out Over This ‘Visitor’ At A Bernie Sanders Rally (VIDEO/TWEETS),fake
Elite Nazi-allied Order From Hungary Claims Trump Adviser Sebastian Gorka Is Sworn Member,fake
" Newt Gingrich Attempted To Stiff Small Businesses, FEC Shot Him Down",fake
"EPA confirms White House freeze on grants, contracts ends Friday",real
California poised to shut out Republicans from U.S. Senate race,real
"U.S. loan to Puerto Rico a start, but more aid to come: official",real
Four dead in ambush of World Food Programme convoy in Nigeria,real
NOT FUNNY! What These “MORONS” Did For Crooked Hillary Should FRIGHTEN Every American [VIDEO],fake
U.S. judge finds Texas voter ID law was intended to discriminate,real
Workers rights get Qatar nod as ILO poised decide on abuse probe,real
"Puigdemont, other sacked Catalan leaders in Brussels: media",real
Spy plane contract to be awarded in fiscal 2018: U.S. Air Force,real
Green Party raises $3.5 million for presidential vote recounts,real
Transport minister doesn't think Britain will leave EU without a deal,real
Investors gird for impact of Trump healthcare measures,real
Damaged A380 to be flown to France to investigate engine blast,real
South Korea calls for 'bone-numbing' sanctions on North for nuclear test,real
"Myanmar forces may be guilty of genocide against Rohingya, U.N. says",real
Two Republican senators join opposition to revised healthcare bill,real
German admits selling gun to Munich attack shooter,real
Republican National Committee cuts ties with Moore: Politico,real
" Republican Congressman Rejects Trump In Scathing Open Letter, Will Vote For Hillary",fake
"Clinton disparages Trump's economic plan, vows to help workers",real
Exclusive: Koch brothers will not use funds to try to block Trump nomination,real
NBC MANAGEMENT “Protected The Sh*t Out of Him”: Details of Married Matt Lauer’s Disgusting Acts Of Sexual Harassment Are REVEALED After Democrat Fan Boy Is Fired,fake
Clinton blames FBI's Comey for her defeat in call with donors,real
Record fall in net migration to UK in year after Brexit vote,real
"Trump again vows to bring back U.S. jobs, but offers few details",real
U.S. court: Ruling on Trump travel ban will not come Wednesday,real
Panama to send immigration envoys to China as visa limits lifted,real
Merkel calls on Hungary to implement court ruling on refugee distribution,real
Boiler Room EP #82 – Mind-boggling Collusion,fake
Poles dressed in black march in defense of women's rights,real
"House speaker, Trump aides vow tax reform by end of 2017",real
Factbox: Issues at stake in Trump-China summit in Florida,real
Germany's CSU denies report Seehofer to quit as Bavaria premier,real
"In schools and hospitals, Turkey carves north Syria role",real
Trump administration starts countdown to NAFTA talks in mid-August,real
Trump Cabinet's First World problem: omitting a few million here and there,real
Petrol bombs and tear gas in Athens rally to mark rapper killing,real
Trump says democracy must be restored in Venezuela soon,real
More than 90 arrested in protests in Washington: CNN,real
U.S. budget chief Mulvaney says CFPB staff should 'disregard' deputy director: memo,real
U.N. official says will raise sexual violence against Rohingya with ICC,real
"Trump to meet Canada's PM amid tensions over trade, immigration",real
U.S. conservative group backs Republicans who favor clean energy,real
" The Senate Banking Committee Held An Equifax Hearing, And The Monopoly Man Showed Up",fake
"U.S. Democrat Bernie Sanders wins Alaska, Washington, Hawaii caucuses",real
Vietnamese court upholds jail term for prominent activist: lawyer,real
"Food and drug chief Gottlieb skirts health secretary talk, says most effective at FDA",real
"Japan, U.S. agree economic talks should produce 'concrete results' near term",real
STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,fake
 WATCH: Chuck Todd Puts The Screws To Mitch McConnell For Not Giving Merrick Garland A Chance,fake
THE WOMAN WHO Moved Freedom Loving Americans To Tears With Her Passionate IRS Testimony Is Now Asking For Our Help,fake
Supreme Court dismisses Hawaii's challenge to Trump travel ban,real
 Democratic Senator Joins #THERESISTANCE: Says Trump Stole Obama’s SCOTUS Seat (DETAILS),fake
